CH1,MULT
8.309,7.997
8.318,8.005
8.322,8.016
8.331,8.024
8.341,8.038
8.347,8.046
8.357,8.054
8.365,8.066
8.375,8.074
8.389,8.087
8.395,8.096
8.402,8.107
8.409,8.115
8.42,8.123
8.425,8.137
8.44,8.146
8.455,8.156
8.461,8.165
8.477,8.178
8.489,8.186
8.493,8.195
8.503,8.206
8.515,8.215
8.531,8.228
8.534,8.236
8.542,8.244
8.555,8.255
8.567,8.264
8.581,8.277
8.583,8.285
8.598,8.297
8.607,8.304
8.616,8.313
8.627,8.327
8.633,8.334
8.64,8.346
8.649,8.354
8.659,8.367
8.669,8.376
8.678,8.384
8.689,8.396
8.701,8.404
8.708,8.417
8.716,8.426
8.725,8.434
8.73,8.445
8.738,8.453
8.752,8.467
8.764,8.475
8.771,8.486
8.781,8.495
8.791,8.503
8.807,8.516
8.813,8.526
8.825,8.536
8.837,8.545
8.852,8.558
8.858,8.566
8.867,8.575
8.882,8.586
8.885,8.595
8.903,8.608
8.909,8.615
8.92,8.628
8.931,8.635
8.94,8.644
8.946,8.658
8.955,8.666
8.963,8.677
8.968,8.685
8.979,8.694
8.987,8.707
8.997,8.715
9.016,8.727
9.02,8.735
9.035,8.748
9.046,8.757
9.053,8.765
9.063,8.776
9.076,8.784
9.087,8.797
9.09,8.806
9.108,8.816
9.11,8.825
9.119,8.833
9.13,8.846
9.144,8.855
9.154,8.866
9.158,8.875
9.171,8.882
9.184,8.896
9.19,8.905
9.201,8.915
9.215,8.925
9.224,8.938
9.238,8.946
9.246,8.955
9.253,8.966
9.259,8.974
9.274,8.988
9.275,8.996
9.291,9.011
9.302,9.024
9.314,9.037
9.325,9.045
9.338,9.056
9.343,9.063
9.352,9.072
9.369,9.085
9.376,9.093
9.388,9.105
9.398,9.113
9.409,9.126
9.413,9.135
9.426,9.142
9.432,9.154
9.439,9.162
9.447,9.175
9.456,9.185
9.464,9.196
9.479,9.204
9.486,9.212
9.494,9.225
9.506,9.234
9.523,9.245
9.527,9.254
9.549,9.267
9.552,9.275
9.565,9.284
9.576,9.294
9.583,9.303
9.589,9.316
9.598,9.324
9.602,9.332
9.613,9.343
9.618,9.352
9.629,9.365
9.639,9.373
9.652,9.385
9.66,9.393
9.665,9.401
9.674,9.415
9.685,9.423
9.691,9.434
9.698,9.442
9.708,9.456
9.722,9.465
9.729,9.472
9.743,9.484
9.754,9.492
9.763,9.505
9.778,9.514
9.78,9.522
9.797,9.534
9.805,9.541
9.826,9.555
9.828,9.564
9.844,9.575
9.852,9.584
9.858,9.592
9.876,9.605
9.887,9.614
9.891,9.625
9.905,9.633
9.914,9.647
9.917,9.655
9.923,9.663
9.935,9.674
9.946,9.683
9.958,9.696
9.968,9.704
9.973,9.714
9.987,9.724
9.989,9.733
10.001,9.747
10.008,9.754
10.015,9.766
10.028,9.774
10.036,9.783
10.049,9.796
10.055,9.804
10.068,9.816
10.079,9.823
10.093,9.837
10.103,9.845
10.11,9.853
10.118,9.864
10.136,9.872
10.147,9.886
10.153,9.894
10.169,9.905
10.177,9.914
10.188,9.922
10.201,9.935
10.211,9.944
10.215,9.955
10.227,9.963
10.234,9.971
10.243,9.985
10.25,9.994
10.257,10.005
10.267,10.014
10.281,10.027
10.283,10.034
10.301,10.044
10.309,10.054
10.32,10.063
10.333,10.076
10.34,10.084
10.356,10.096
10.363,10.104
10.376,10.114
10.387,10.127
10.396,10.135
10.4,10.147
10.41,10.155
10.415,10.163
10.427,10.177
10.441,10.185
10.45,10.196
10.459,10.204
10.47,10.218
10.479,10.226
10.492,10.234
10.507,10.247
10.517,10.254
10.529,10.267
10.532,10.276
10.543,10.287
10.548,10.296
10.555,10.303
10.568,10.317
10.571,10.326
10.583,10.336
10.594,10.345
10.602,10.353
10.619,10.366
10.628,10.375
10.635,10.386
10.645,10.394
10.662,10.408
10.667,10.415
10.683,10.424
10.689,10.435
10.695,10.444
10.711,10.457
10.718,10.465
10.729,10.477
10.731,10.484
10.739,10.493
10.751,10.507
10.761,10.515
10.771,10.526
10.778,10.534
10.796,10.543
10.807,10.556
10.816,10.564
10.836,10.576
10.843,10.584
10.854,10.597
10.857,10.606
10.868,10.614
10.875,10.625
10.879,10.633
10.892,10.648
10.899,10.656
10.904,10.667
10.911,10.676
10.924,10.683
10.935,10.697
10.945,10.706
10.957,10.717
10.96,10.725
10.971,10.739
10.979,10.746
10.987,10.755
11.003,10.766
11.013,10.775
11.023,10.788
11.037,10.796
11.047,10.805
11.06,10.816
11.067,10.824
11.085,10.838
11.092,10.846
11.107,10.858
11.111,10.865
11.123,10.874
11.134,10.887
11.147,10.895
11.158,10.907
11.165,10.914
11.176,10.928
11.186,10.937
11.189,10.944
11.201,10.956
11.209,10.964
11.22,10.977
11.225,10.986
11.239,10.994
11.252,11.006
11.257,11.013
11.269,11.026
11.281,11.036
11.286,11.047
11.298,11.055
11.302,11.063
11.315,11.077
11.323,11.085
11.336,11.096
11.348,11.105
11.36,11.118
11.362,11.126
11.377,11.135
11.386,11.146
11.39,11.154
11.41,11.167
11.413,11.175
11.425,11.183
11.438,11.194
11.449,11.203
11.461,11.216
11.466,11.224
11.483,11.236
11.489,11.244
11.499,11.252
11.511,11.266
11.516,11.274
11.522,11.285
11.53,11.293
11.543,11.307
11.548,11.316
11.555,11.323
11.571,11.335
11.579,11.343
11.595,11.356
11.606,11.365
11.621,11.3805
11.64,11.392
11.652,11.406
11.659,11.415
11.668,11.425
11.676,11.434
11.681,11.442
11.693,11.455
11.703,11.464
11.716,11.475
11.726,11.483
11.735,11.497
11.748,11.505
11.754,11.513
11.763,11.524
11.779,11.533
11.79,11.546
11.8,11.554
11.815,11.566
11.819,11.574
11.828,11.583
11.835,11.596
11.843,11.604
11.852,11.615
11.855,11.623
11.863,11.632
11.879,11.645
11.885,11.653
11.904,11.665
11.918,11.673
11.92,11.686
11.938,11.696
11.944,11.704
11.954,11.715
11.968,11.723
11.984,11.737
11.989,11.745
11.997,11.756
12.004,11.765
12.008,11.773
12.021,11.786
12.024,11.795
12.038,11.806
12.048,11.814
12.053,11.822
12.078,11.836
12.083,11.845
12.099,11.856
12.106,11.865
12.12,11.878
12.125,11.885
12.136,11.894
12.146,11.905
12.151,11.914
12.163,11.927
12.17,11.935
12.176,11.947
12.189,11.954
12.199,11.963
12.205,11.976
12.217,11.984
12.23,12.004
12.249,12.017
12.251,12.026
12.261,12.034
12.274,12.045
12.28,12.053
12.297,12.067
12.307,12.075
12.313,12.083
12.326,12.096
12.339,12.103
12.355,12.116
12.363,12.125
12.375,12.136
12.384,12.145
12.396,12.152
12.408,12.166
12.42,12.175
12.428,12.186
12.438,12.195
12.456,12.208
12.457,12.215
12.468,12.231
12.473,12.239
12.478,12.247
12.489,12.258
12.497,12.267
12.501,12.275
12.514,12.288
12.532,12.297
12.536,12.308
12.541,12.316
12.556,12.33
12.563,12.337
12.57,12.346
12.577,12.357
12.587,12.366
12.607,12.379
12.612,12.387
12.624,12.399
12.628,12.407
12.638,12.415
12.654,12.429
12.663,12.437
12.676,12.449
12.685,12.456
12.694,12.465
12.711,12.478
12.718,12.486
12.73,12.498
12.739,12.505
12.755,12.519
12.766,12.527
12.768,12.535
12.779,12.547
12.788,12.555
12.797,12.568
12.801,12.577
12.811,12.588
12.82,12.596
12.829,12.604
12.845,12.617
12.849,12.627
12.861,12.638
12.87,12.646
12.879,12.654
12.896,12.668
12.91,12.676
12.921,12.687
12.923,12.696
12.94,12.709
12.952,12.717
12.957,12.726
12.964,12.737
12.97,12.745
12.987,12.76
12.99,12.767
13.005,12.779
13.016,12.787
13.023,12.796
13.041,12.809
13.05,12.816
13.062,12.829
13.069,12.836
13.085,12.85
13.095,12.859
13.101,12.866
13.11,12.878
13.114,12.886
13.125,12.9
13.134,12.908
13.142,12.916
13.155,12.928
13.161,12.936
13.178,12.949
13.189,12.958
13.199,12.969
13.209,12.977
13.217,12.985
13.235,12.999
13.246,13.007
13.255,13.018
13.261,13.026
13.27,13.04
13.277,13.047
13.284,13.056
13.293,13.067
13.3,13.076
13.311,13.089
13.319,13.097
13.329,13.106
13.349,13.116
13.357,13.125
13.371,13.138
13.381,13.146
13.395,13.159
13.399,13.167
13.411,13.175
13.422,13.189
