v_current,i_meas
1539.8,-2.982
1539.9,-2.962
1540.2,-2.952
1540.6,-2.942
1541.4,-2.932
1541.7,-2.922
1541.9,-2.912
1542.1,-2.902
1542.4,-2.892
1543.0,-2.882
1543.8,-2.852
1544.8,-2.842
1545.4,-2.832
1547.1,-2.782
1549.4,-2.792
1550.0,-2.772
1550.4,-2.762
1551.0,-2.741
1551.5,-2.721
1552.6,-2.6865
1553.2,-2.6765
1554.0,-2.671
1554.1,-2.651
1555.4,-2.612
1556.3,-2.602
1556.4,-2.592
1556.7,-2.582
1556.8,-2.571
1558.6,-2.552
1559.0,-2.542
1559.4,-2.521
1560.7,-2.532
1562.2,-2.502
1562.5,-2.481
1563.3,-2.462
1563.7,-2.451
1564.1,-2.441
1564.6,-2.431
1565.0,-2.421
1565.2,-2.412
1565.4,-2.401
1565.9,-2.391
1566.6,-2.371
1566.7,-2.371
1567.5,-2.352
1567.9,-2.332
1568.5,-2.311
1569.3,-2.291
1570.1,-2.282
1571.1,-2.261
1572.0,-2.251
1572.3,-2.241
1573.2,-2.232
1574.9,-2.221
1575.4,-2.201
1576.4,-2.191
1576.8,-2.181
1576.9,-2.161
1577.3,-2.146
1578.0,-2.131
1578.3,-2.121
1578.4,-2.111
1578.7,-2.101
1579.6,-2.082
1580.3,-2.062
1580.7,-2.037
1581.4,-2.002
1582.2,-2.012
1582.8,-1.992
1584.5,-1.982
1585.6,-1.962
1586.1,-1.952
1586.6,-1.942
1587.9,-1.932
1588.0,-1.921
1588.5,-1.911
1589.2,-1.8969999999999998
1589.3,-1.882
1589.9,-1.852
1590.8,-1.861
1591.1,-1.842
1591.6,-1.832
1592.0,-1.822
1592.1,-1.812
1592.5,-1.802
1592.6,-1.792
1592.8,-1.772
1593.4,-1.752
1593.7,-1.732
1594.6,-1.711
1595.6,-1.702
1595.9,-1.691
1596.3,-1.681
1597.6,-1.661
1598.4,-1.651
1599.2,-1.641
1600.9,-1.621
1601.9,-1.611
1602.7,-1.596
1603.2,-1.571
1603.7,-1.561
1604.0,-1.541
1604.7,-1.521
1605.0,-1.511
1605.5,-1.502
1606.2,-1.4865
1606.3,-1.471
1606.8,-1.451
1607.9,-1.421
1610.6,-1.401
1610.8,-1.391
1612.3,-1.381
1613.2,-1.361
1614.1,-1.351
1614.3,-1.341
1614.4,-1.331
1614.6,-1.321
1615.3,-1.311
1615.4,-1.301
1616.2,-1.291
1616.7,-1.281
1617.0,-1.271
1617.2,-1.251
1617.4,-1.251
1617.8,-1.231
1618.1,-1.221
1618.8,-1.211
1619.0,-1.201
1619.3,-1.181
1619.6,-1.171
