VBAT,MULT
1482.7,7.992
1607.6,8.0
1612.3,8.012
1614.1,8.019
1616.2,8.033
1617.3,8.041
1618.5,8.049
1619.9,8.061
1621.8,8.069
1626.6,8.082
1628.1,8.091
1630.0,8.102
1631.4,8.111
1632.4,8.118
1635.2,8.132
1639.5,8.141
1641.1,8.152
1642.6,8.161
1645.1,8.174
1649.5,8.182
1650.6,8.182
1652.2,8.202
1654.2,8.21
1656.3,8.224
1657.6,8.231
1658.8,8.24
1663.1,8.251
1665.8,8.259
1667.2,8.272
1668.6,8.28
1670.1,8.292
1671.2,8.3
1673.7,8.308
1678.7,8.322
1679.2,8.33
1681.0,8.341
1682.0,8.349
1684.1,8.363
1685.5,8.371
1690.7,8.379
1692.2,8.392
1692.9,8.399
1695.0,8.412
1696.7,8.421
1697.5,8.429
1704.0,8.441
1705.0,8.448
1705.9,8.462
1707.1,8.471
1709.2,8.482
1709.9,8.49
1712.0,8.498
1717.2,8.511
1718.1,8.521
1720.1,8.532
1721.9,8.541
1722.9,8.554
1726.5,8.562
1729.7,8.57
1730.4,8.581
1731.9,8.59
1734.5,8.603
1735.6,8.611
1737.1,8.623
1741.8,8.631
1743.0,8.639
1745.0,8.654
1746.8,8.661
1748.2,8.673
1752.1,8.681
1755.1,8.689
1756.0,8.703
1757.2,8.71
1759.6,8.73
1761.8,8.743
1765.8,8.752
1769.0,8.76
1769.6,8.772
1771.0,8.779
1772.9,8.793
1774.3,8.801
1776.7,8.812
1781.3,8.821
1782.0,8.829
1783.7,8.842
1784.8,8.851
1786.7,8.862
1787.9,8.87
1791.5,8.878
1794.4,8.892
1796.3,8.9
1797.3,8.911
1799.4,8.92
1800.7,8.934
1804.7,8.941
1808.0,8.95
1808.6,8.961
1809.7,8.97
1812.4,8.983
1812.9,8.991
1815.3,9.003
1820.2,9.01
1820.6,9.019
1822.5,9.033
1824.2,9.04
1825.9,9.055
1829.1,9.067
1833.7,9.081
1834.9,9.089
1836.6,9.1
1837.8,9.108
1838.9,9.122
1842.8,9.13
1846.4,9.138
1847.2,9.15
1848.6,9.158
1852.4,9.171
1856.0,9.18
1858.2,9.191
1858.9,9.2
1859.2,9.207
1861.8,9.221
1862.9,9.23
1863.9,9.24
1865.1,9.25
1870.8,9.263
1872.1,9.27
1873.9,9.279
1875.7,9.29
1876.6,9.299
1879.1,9.312
1883.5,9.32
1884.7,9.328
1886.4,9.339
1887.7,9.348
1889.7,9.361
1890.8,9.369
1895.4,9.381
