VPOW,MULT
1447.0,7.992
1611.6,8.0
1614.0,8.012
1615.4,8.019
1617.8,8.033
1618.7,8.041
1619.8,8.049
1621.9,8.061
1625.9,8.069
1628.1,8.082
1629.9,8.091
1630.8,8.102
1632.6,8.111
1633.5,8.118
1638.7,8.132
1640.4,8.141
1642.8,8.152
1643.5,8.161
1650.0,8.174
1652.6,8.182
1652.8,8.182
1654.8,8.202
1655.7,8.21
1657.5,8.224
1658.8,8.231
1662.8,8.24
1665.8,8.251
1666.5,8.259
1668.3,8.272
1669.6,8.28
1671.7,8.292
1673.1,8.3
1678.5,8.308
1679.6,8.322
1680.8,8.33
1682.6,8.341
1683.7,8.349
1687.3,8.363
1691.3,8.371
1692.0,8.379
1692.9,8.392
1694.6,8.399
1696.5,8.412
1697.5,8.421
1702.5,8.429
1704.8,8.441
1705.6,8.448
1707.4,8.462
1708.7,8.471
1709.9,8.482
1714.5,8.49
1717.2,8.498
1718.1,8.511
1719.3,8.521
1721.7,8.532
1722.5,8.541
1727.9,8.554
1729.7,8.562
1730.2,8.57
1732.0,8.581
1734.1,8.59
1735.5,8.603
1737.5,8.611
1742.2,8.623
1743.0,8.631
1744.7,8.639
1746.7,8.654
1747.6,8.661
1752.5,8.673
1755.0,8.681
1755.9,8.689
1757.1,8.703
1758.8,8.71
1758.9,8.71
1761.5,8.73
1766.3,8.743
1768.8,8.752
1769.4,8.76
1771.1,8.772
1772.2,8.779
1774.7,8.793
1776.1,8.801
1781.4,8.812
1782.0,8.821
1783.3,8.829
1785.2,8.842
1786.5,8.851
1788.4,8.862
1792.8,8.87
1794.8,8.878
1796.0,8.892
1797.1,8.9
1799.2,8.911
1800.9,8.92
1805.9,8.934
1807.8,8.941
1808.5,8.95
1809.4,8.961
1811.4,8.97
1813.0,8.983
1816.5,8.991
1820.4,9.003
1821.0,9.01
1821.9,9.019
1824.5,9.033
1825.7,9.04
1826.4,9.051
1830.5,9.059
1833.8,9.067
1834.6,9.081
1835.8,9.089
1837.8,9.1
1839.0,9.108
1844.7,9.122
1846.5,9.13
1847.0,9.138
1848.9,9.15
1850.6,9.158
