slA_ch1,v_meas_ch2
1945.2,2.201
1955.9,2.209
1965.1,2.223
1976.2,2.231
1980.4,2.239
1990.6,2.251
1998.1,2.259
2007.4,2.272
2017.4,2.281
2023.2,2.289
2032.4,2.301
2044.9,2.308
2052.4,2.323
2063.9,2.331
2071.4,2.339
2079.6,2.351
2090.2,2.359
2097.4,2.372
2107.7,2.381
2118.2,2.392
2126.3,2.401
2133.9,2.409
2141.3,2.423
2152.8,2.431
2160.4,2.442
2170.7,2.451
2177.2,2.459
2186.7,2.472
2197.3,2.481
2204.7,2.492
2214.2,2.501
2223.0,2.508
2229.4,2.522
2241.4,2.531
2249.2,2.542
2259.0,2.551
2266.0,2.559
2272.8,2.572
2286.2,2.581
2293.7,2.592
2302.9,2.601
2311.6,2.614
2322.9,2.622
2330.1,2.631
2337.7,2.642
2347.4,2.651
2356.1,2.664
2367.0,2.672
2372.7,2.681
2381.9,2.692
2391.2,2.701
2399.8,2.712
2408.6,2.72
2416.0,2.728
2423.5,2.739
2433.3,2.748
2441.0,2.761
2453.6,2.769
2459.1,2.778
2468.7,2.789
2473.2,2.798
2479.1,2.811
2497.3,2.819
2504.9,2.827
2512.2,2.839
2522.3,2.848
2530.5,2.861
2541.3,2.869
2548.0,2.881
2559.4,2.889
2566.0,2.898
2575.2,2.911
2584.9,2.919
2593.0,2.93
2602.8,2.938
2610.9,2.947
2618.6,2.961
2629.6,2.968
2637.0,2.981
2647.9,2.989
2654.3,2.997
2663.1,3.011
2672.9,3.019
2680.5,3.03
2688.1,3.038
2697.6,3.047
2706.5,3.061
2718.5,3.068
2720.7,3.081
2736.1,3.088
2742.6,3.102
2753.7,3.111
2760.0,3.119
2770.2,3.13
2778.7,3.138
2786.7,3.152
2798.2,3.161
2805.9,3.168
2814.2,3.18
2824.9,3.188
2832.2,3.202
2842.4,3.21
2849.5,3.218
2857.8,3.23
2867.7,3.238
2874.4,3.252
2884.4,3.261
2887.7,3.268
2897.0,3.281
2913.1,3.288
2919.9,3.302
2932.0,3.311
2938.8,3.319
2945.7,3.33
2954.5,3.338
2965.1,3.351
2975.2,3.36
2983.2,3.371
2991.1,3.381
3000.7,3.388
3007.3,3.402
3018.8,3.411
3028.2,3.422
3037.9,3.43
3043.9,3.438
3052.9,3.452
3062.6,3.46
3070.3,3.471
3080.6,3.48
3088.4,3.488
3093.3,3.501
3106.8,3.51
3115.9,3.521
3125.8,3.53
3133.5,3.538
3141.9,3.551
3150.4,3.56
3159.6,3.571
3168.7,3.58
3179.5,3.593
3187.6,3.601
3194.4,3.61
3201.0,3.621
3212.2,3.629
3221.5,3.644
3233.5,3.651
3240.7,3.66
3249.4,3.671
3255.3,3.68
