slB_ch1,v_meas_ch2
1897.4,2.201
1907.6,2.209
1915.6,2.223
1927.1,2.231
1933.7,2.239
1942.3,2.251
1952.3,2.259
1959.4,2.272
1969.3,2.281
1977.9,2.289
1983.9,2.301
1994.0,2.308
2002.5,2.323
2020.4,2.331
2021.1,2.339
2027.3,2.351
2037.0,2.359
2047.5,2.372
2060.3,2.381
2066.3,2.392
2077.1,2.401
2082.7,2.409
2090.8,2.423
2101.7,2.431
2109.7,2.442
2119.2,2.451
2127.1,2.459
2133.9,2.472
2147.0,2.481
2155.0,2.492
2163.3,2.501
2171.9,2.508
2178.8,2.522
2189.8,2.531
2197.5,2.542
2207.5,2.551
2214.2,2.559
2221.8,2.572
2233.9,2.581
2241.7,2.592
2251.2,2.601
2261.1,2.614
2272.2,2.622
2277.5,2.631
2287.6,2.642
2295.0,2.651
2303.4,2.664
2315.0,2.672
2320.7,2.681
2329.0,2.692
2339.0,2.701
2346.2,2.712
2356.5,2.72
2365.5,2.728
2370.4,2.739
2381.4,2.748
2389.7,2.761
2399.5,2.769
2406.4,2.778
2415.6,2.789
2423.3,2.798
2433.0,2.811
2443.5,2.819
2450.6,2.827
2458.3,2.839
2469.2,2.848
2475.6,2.861
2488.1,2.869
2494.7,2.881
2504.8,2.889
2511.2,2.898
2520.8,2.911
2530.1,2.919
2538.9,2.93
2547.2,2.938
2554.0,2.947
2562.6,2.961
2575.0,2.968
2581.2,2.981
2592.2,2.989
2599.1,2.997
2606.0,3.011
2617.8,3.019
2626.7,3.03
2633.4,3.038
2642.4,3.047
2650.8,3.061
2661.8,3.068
2667.7,3.081
2678.9,3.088
2686.8,3.102
2698.3,3.111
2705.0,3.119
2713.5,3.13
2723.3,3.138
2732.3,3.152
2741.0,3.161
2751.8,3.168
2756.3,3.18
2768.4,3.188
2773.3,3.202
2785.8,3.21
2791.8,3.218
2802.9,3.23
2807.8,3.238
2817.9,3.252
2829.1,3.261
2836.7,3.268
2843.2,3.281
2854.6,3.288
2860.9,3.302
2873.1,3.311
2878.5,3.319
2886.3,3.33
2894.3,3.338
2906.4,3.351
2914.4,3.36
2925.4,3.371
2933.8,3.381
2939.8,3.388
2946.6,3.402
2961.6,3.411
2967.9,3.422
2980.0,3.43
2985.4,3.438
2993.0,3.452
3002.9,3.46
3012.7,3.471
3019.2,3.48
3028.8,3.488
3037.0,3.501
3048.3,3.51
3053.6,3.521
3065.7,3.53
3069.5,3.538
3080.2,3.551
3091.2,3.56
3098.8,3.571
3107.7,3.58
3117.4,3.593
3125.6,3.601
3137.9,3.61
3142.2,3.621
3150.9,3.629
3159.2,3.644
3171.3,3.651
3175.5,3.66
3188.3,3.671
3194.3,3.68
