src,mult,ch1,ch2,vup,vdown
8.000, 7.991, 7.997, 7.997, 8.789, 8.479
8.010, 7.999, 7.997, 7.997, 8.011, 8.006
8.020, 8.011, 7.997, 7.997, 8.023, 8.006
8.030, 8.018, 7.997, 7.997, 8.028, 8.006
8.040, 8.032, 7.997, 7.997, 8.045, 8.006
8.050, 8.041, 7.997, 7.997, 8.056, 8.006
8.060, 8.048, 7.997, 7.997, 8.061, 8.006
8.070, 8.060, 7.997, 7.997, 8.076, 8.006
8.080, 8.068, 7.997, 7.997, 8.080, 8.006
8.090, 8.068, 7.997, 7.997, 8.080, 8.006
8.100, 8.090, 7.997, 7.997, 8.100, 8.006
8.110, 8.101, 7.997, 7.997, 8.114, 8.006
8.120, 8.110, 7.997, 7.997, 8.120, 8.006
8.130, 8.117, 7.997, 7.997, 8.128, 8.006
8.140, 8.131, 8.003, 7.997, 8.144, 8.006
8.150, 8.140, 7.997, 7.997, 8.153, 8.006
8.160, 8.151, 8.033, 7.997, 8.169, 8.006
8.170, 8.160, 7.997, 7.997, 8.177, 8.006
8.180, 8.173, 8.079, 7.997, 8.196, 8.006
8.190, 8.181, 8.087, 7.997, 8.218, 8.006
8.200, 8.190, 8.092, 7.997, 8.224, 8.006
8.210, 8.201, 8.103, 7.997, 8.224, 8.006
8.220, 8.209, 8.109, 7.997, 8.228, 8.006
8.230, 8.223, 8.119, 7.997, 8.236, 8.006
8.240, 8.230, 8.127, 7.997, 8.242, 8.006
8.250, 8.239, 8.136, 7.997, 8.249, 8.006
8.260, 8.250, 8.147, 7.997, 8.263, 8.006
8.270, 8.258, 8.158, 7.997, 8.273, 8.006
8.280, 8.271, 8.172, 7.997, 8.284, 8.006
8.290, 8.279, 8.180, 7.997, 8.292, 8.006
8.300, 8.279, 8.182, 7.997, 8.294, 8.006
8.310, 8.299, 8.201, 7.997, 8.308, 8.006
8.320, 8.307, 8.211, 7.997, 8.315, 8.006
8.330, 8.321, 8.229, 7.997, 8.332, 8.016
8.340, 8.329, 8.236, 7.997, 8.340, 8.023
8.350, 8.340, 8.247, 7.997, 8.354, 8.035
8.360, 8.348, 8.253, 7.997, 8.360, 8.039
8.370, 8.362, 8.266, 7.997, 8.373, 8.053
8.380, 8.370, 8.272, 7.997, 8.379, 8.061
8.390, 8.378, 8.280, 7.997, 8.394, 8.068
8.400, 8.391, 8.297, 7.999, 8.402, 8.081
8.410, 8.398, 8.301, 7.999, 8.407, 8.092
8.420, 8.411, 8.319, 8.001, 8.423, 8.104
8.430, 8.420, 8.331, 8.004, 8.433, 8.112
8.440, 8.428, 8.339, 8.007, 8.436, 8.124
8.450, 8.440, 8.354, 8.011, 8.454, 8.136
8.460, 8.447, 8.364, 8.013, 8.460, 8.145
8.470, 8.461, 8.373, 8.020, 8.473, 8.156
8.480, 8.470, 8.385, 8.027, 8.482, 8.165
8.490, 8.481, 8.399, 8.035, 8.493, 8.173
8.500, 8.490, 8.406, 8.040, 8.503, 8.210
8.510, 8.497, 8.414, 8.047, 8.510, 8.212
8.520, 8.510, 8.424, 8.062, 8.522, 8.213
8.530, 8.520, 8.431, 8.071, 8.533, 8.215
8.540, 8.531, 8.441, 8.084, 8.545, 8.224
8.550, 8.540, 8.449, 8.093, 8.555, 8.231
8.560, 8.553, 8.460, 8.104, 8.560, 8.249
8.570, 8.561, 8.470, 8.112, 8.574, 8.252
8.580, 8.569, 8.481, 8.119, 8.581, 8.259
8.590, 8.580, 8.494, 8.127, 8.592, 8.275
8.600, 8.589, 8.504, 8.141, 8.601, 8.282
8.610, 8.602, 8.520, 8.153, 8.614, 8.294
8.620, 8.610, 8.528, 8.165, 8.623, 8.302
8.630, 8.622, 8.539, 8.170, 8.636, 8.319
8.640, 8.630, 8.546, 8.180, 8.644, 8.326
8.650, 8.638, 8.553, 8.187, 8.650, 8.331
8.660, 8.652, 8.567, 8.201, 8.666, 8.344
8.670, 8.660, 8.573, 8.210, 8.678, 8.352
8.680, 8.672, 8.579, 8.225, 8.684, 8.367
8.690, 8.680, 8.586, 8.229, 8.696, 8.373
8.700, 8.688, 8.592, 8.239, 8.705, 8.383
8.710, 8.702, 8.610, 8.251, 8.715, 8.395
8.720, 8.709, 8.616, 8.260, 8.724, 8.405
8.730, 8.722, 8.630, 8.271, 8.734, 8.418
8.740, 8.729, 8.636, 8.278, 8.738, 8.426
8.750, 8.742, 8.651, 8.290, 8.757, 8.438
8.760, 8.751, 8.665, 8.302, 8.771, 8.445
8.770, 8.759, 8.671, 8.310, 8.776, 8.454
8.780, 8.771, 8.686, 8.325, 8.784, 8.461
8.790, 8.778, 8.696, 8.331, 8.791, 8.472
8.800, 8.792, 8.711, 8.349, 8.807, 8.486
8.810, 8.800, 8.720, 8.358, 8.814, 8.493
8.820, 8.811, 8.729, 8.373, 8.827, 8.511
