SRC,MULT,VBAT,VPOW
8.000, 7.992, 7.992, 7.992
8.010, 8.000, 8.000, 8.005
8.020, 8.012, 8.008, 8.014
8.030, 8.019, 8.019, 8.020
8.040, 8.033, 8.032, 8.031
8.050, 8.041, 8.041, 8.038
8.060, 8.049, 8.050, 8.048
8.070, 8.061, 8.062, 8.060
8.080, 8.069, 8.071, 8.073
8.090, 8.082, 8.085, 8.082
8.100, 8.091, 8.093, 8.093
8.110, 8.102, 8.102, 8.103
8.120, 8.110, 8.110, 8.113
8.130, 8.118, 8.117, 8.120
8.140, 8.132, 8.132, 8.132
8.150, 8.141, 8.141, 8.142
8.160, 8.152, 8.153, 8.151
8.170, 8.161, 8.160, 8.161
8.180, 8.174, 8.175, 8.174
8.190, 8.181, 8.182, 8.182
8.200, 8.191, 8.204, 8.183
8.210, 8.201, 8.206, 8.202
8.220, 8.210, 8.211, 8.210
8.230, 8.223, 8.223, 8.223
8.240, 8.231, 8.229, 8.230
8.250, 8.240, 8.240, 8.243
8.260, 8.251, 8.247, 8.250
8.270, 8.259, 8.259, 8.261
8.280, 8.272, 8.270, 8.273
8.290, 8.280, 8.277, 8.281
8.300, 8.292, 8.292, 8.290
8.310, 8.300, 8.300, 8.302
8.320, 8.308, 8.303, 8.311
8.330, 8.322, 8.321, 8.319
8.340, 8.330, 8.331, 8.328
8.350, 8.341, 8.341, 8.340
8.360, 8.349, 8.350, 8.345
8.370, 8.362, 8.364, 8.361
8.380, 8.371, 8.369, 8.370
8.390, 8.379, 8.383, 8.377
8.400, 8.391, 8.394, 8.391
8.410, 8.399, 8.399, 8.400
8.420, 8.412, 8.414, 8.411
8.430, 8.421, 8.420, 8.419
8.440, 8.429, 8.428, 8.427
8.450, 8.441, 8.442, 8.440
8.460, 8.448, 8.448, 8.446
8.470, 8.462, 8.460, 8.463
8.480, 8.471, 8.471, 8.472
8.490, 8.481, 8.483, 8.482
8.500, 8.490, 8.490, 8.488
8.510, 8.498, 8.494, 8.498
8.520, 8.511, 8.513, 8.510
8.530, 8.521, 8.520, 8.522
8.540, 8.532, 8.532, 8.532
8.550, 8.540, 8.538, 8.541
8.560, 8.554, 8.554, 8.553
8.570, 8.562, 8.557, 8.565
8.580, 8.570, 8.570, 8.568
8.590, 8.581, 8.582, 8.580
8.600, 8.590, 8.589, 8.589
8.610, 8.603, 8.603, 8.601
8.620, 8.611, 8.609, 8.607
8.630, 8.623, 8.624, 8.624
8.640, 8.631, 8.630, 8.631
8.650, 8.639, 8.639, 8.636
8.660, 8.653, 8.654, 8.652
8.670, 8.661, 8.662, 8.660
8.680, 8.673, 8.670, 8.670
8.690, 8.680, 8.681, 8.680
8.700, 8.689, 8.689, 8.688
8.710, 8.702, 8.703, 8.702
8.720, 8.710, 8.710, 8.710
8.730, 8.722, 8.728, 8.719
8.740, 8.730, 8.732, 8.731
8.750, 8.743, 8.742, 8.744
8.760, 8.752, 8.753, 8.751
8.770, 8.760, 8.760, 8.757
8.780, 8.771, 8.768, 8.771
8.790, 8.779, 8.780, 8.778
8.800, 8.792, 8.792, 8.792
8.810, 8.801, 8.803, 8.798
8.820, 8.812, 8.806, 8.812
8.830, 8.821, 8.822, 8.821
8.840, 8.828, 8.827, 8.828
8.850, 8.842, 8.843, 8.841
8.860, 8.851, 8.852, 8.852
8.870, 8.862, 8.861, 8.860
8.880, 8.870, 8.870, 8.869
8.890, 8.878, 8.877, 8.877
8.900, 8.891, 8.894, 8.893
8.910, 8.900, 8.898, 8.901
8.920, 8.911, 8.912, 8.909
8.930, 8.920, 8.920, 8.919
8.940, 8.933, 8.934, 8.933
8.950, 8.941, 8.943, 8.941
8.960, 8.941, 8.946, 8.944
8.970, 8.961, 8.957, 8.961
8.980, 8.970, 8.969, 8.971
8.990, 8.983, 8.981, 8.982
9.000, 8.991, 8.991, 8.989
9.010, 9.003, 9.001, 9.002
9.020, 9.010, 9.010, 9.011
9.030, 9.019, 9.024, 9.019
9.040, 9.032, 9.033, 9.031
9.050, 9.040, 9.044, 9.042
9.060, 9.051, 9.055, 9.051
9.070, 9.059, 9.055, 9.059
9.080, 9.067, 9.075, 9.065
9.090, 9.081, 9.081, 9.076
9.100, 9.089, 9.087, 9.088
9.110, 9.100, 9.099, 9.100
9.120, 9.108, 9.108, 9.107
9.130, 9.122, 9.122, 9.121
9.140, 9.130, 9.129, 9.138
9.150, 9.138, 9.146, 9.138
9.160, 9.150, 9.151, 9.149
9.170, 9.158, 9.159, 9.159
9.180, 9.171, 9.175, 9.171
9.190, 9.180, 9.179, 9.179
9.200, 9.191, 9.190, 9.191
9.210, 9.200, 9.200, 9.200
9.220, 9.207, 9.205, 9.210
9.230, 9.221, 9.221, 9.222
9.240, 9.229, 9.232, 9.229
9.250, 9.240, 9.242, 9.242
9.260, 9.249, 9.250, 9.252
9.270, 9.262, 9.266, 9.263
9.280, 9.270, 9.271, 9.269
9.290, 9.279, 9.279, 9.278
9.300, 9.290, 9.290, 9.292
9.310, 9.298, 9.301, 9.298
9.320, 9.312, 9.310, 9.311
9.330, 9.319, 9.323, 9.319
9.340, 9.328, 9.330, 9.330
9.350, 9.339, 9.340, 9.340
9.360, 9.348, 9.348, 9.349
9.370, 9.361, 9.360, 9.361
9.380, 9.369, 9.369, 9.370
9.390, 9.381, 9.384, 9.380
9.400, 9.388, 9.389, 9.394
9.410, 9.397, 9.399, 9.398
9.420, 9.411, 9.413, 9.410
9.430, 9.418, 9.421, 9.419
9.440, 9.430, 9.431, 9.429
9.450, 9.438, 9.439, 9.439
9.460, 9.452, 9.455, 9.455
9.470, 9.460, 9.462, 9.463
9.480, 9.468, 9.467, 9.467
9.490, 9.480, 9.481, 9.482
9.500, 9.488, 9.488, 9.488
9.510, 9.501, 9.502, 9.501
9.520, 9.510, 9.512, 9.512
9.530, 9.518, 9.517, 9.518
9.540, 9.529, 9.530, 9.530
9.550, 9.537, 9.540, 9.537
9.560, 9.551, 9.553, 9.551
9.570, 9.559, 9.560, 9.559
9.580, 9.570, 9.570, 9.572
9.590, 9.580, 9.579, 9.581
9.600, 9.588, 9.591, 9.589
9.610, 9.601, 9.603, 9.600
9.620, 9.610, 9.613, 9.610
9.630, 9.621, 9.621, 9.622
9.640, 9.629, 9.630, 9.632
9.650, 9.643, 9.643, 9.638
9.660, 9.651, 9.643, 9.649
9.670, 9.659, 9.660, 9.660
9.680, 9.670, 9.670, 9.669
9.690, 9.679, 9.677, 9.675
9.700, 9.692, 9.691, 9.697
9.710, 9.700, 9.703, 9.700
9.720, 9.709, 9.708, 9.710
9.730, 9.720, 9.724, 9.720
9.740, 9.729, 9.732, 9.729
9.750, 9.742, 9.743, 9.744
9.760, 9.750, 9.750, 9.755
9.770, 9.762, 9.762, 9.763
9.780, 9.769, 9.771, 9.770
9.790, 9.778, 9.779, 9.780
9.800, 9.792, 9.793, 9.794
9.810, 9.799, 9.801, 9.800
9.820, 9.811, 9.813, 9.810
9.830, 9.819, 9.821, 9.818
9.840, 9.832, 9.831, 9.830
9.850, 9.841, 9.839, 9.840
9.860, 9.849, 9.846, 9.850
9.870, 9.860, 9.861, 9.861
9.880, 9.868, 9.867, 9.868
9.890, 9.881, 9.883, 9.881
9.900, 9.890, 9.892, 9.892
9.910, 9.901, 9.902, 9.900
9.920, 9.910, 9.911, 9.911
9.930, 9.918, 9.917, 9.919
9.940, 9.931, 9.929, 9.931
9.950, 9.940, 9.940, 9.938
9.960, 9.951, 9.951, 9.950
9.970, 9.959, 9.962, 9.960
9.980, 9.967, 9.966, 9.966
9.990, 9.981, 9.984, 9.981
10.000, 9.990, 9.993, 9.989
10.010, 10.000, 10.000, 10.001
10.020, 10.009, 10.013, 10.007
10.030, 10.022, 10.023, 10.023
10.040, 10.030, 10.032, 10.028
10.050, 10.039, 10.042, 10.041
10.060, 10.050, 10.052, 10.047
10.070, 10.059, 10.064, 10.059
10.080, 10.072, 10.076, 10.074
10.090, 10.080, 10.082, 10.086
