SRC,MULT,CH1,CH2,VBAT,VPOW
8.000, 7.997, 8.309, 8.372, 1609.700, 1563.800
8.010, 8.005, 8.318, 8.385, 1606.600, 1562.700
8.020, 8.016, 8.322, 8.392, 1609.100, 1563.800
8.030, 8.024, 8.331, 8.400, 1613.400, 1564.300
8.040, 8.038, 8.341, 8.409, 1615.000, 1566.800
8.050, 8.046, 8.347, 8.420, 1616.800, 1568.300
8.060, 8.054, 8.357, 8.427, 1617.400, 1569.000
8.070, 8.066, 8.365, 8.435, 1619.700, 1572.300
8.080, 8.074, 8.375, 8.446, 1620.000, 1576.000
8.090, 8.087, 8.389, 8.464, 1625.100, 1577.300
8.100, 8.096, 8.395, 8.474, 1627.200, 1578.800
8.110, 8.107, 8.402, 8.477, 1629.100, 1580.700
8.120, 8.115, 8.409, 8.488, 1630.800, 1580.900
8.130, 8.123, 8.420, 8.496, 1631.800, 1584.600
8.140, 8.137, 8.425, 8.509, 1632.900, 1588.600
8.150, 8.146, 8.440, 8.521, 1637.300, 1589.300
8.160, 8.156, 8.455, 8.535, 1639.900, 1591.300
8.170, 8.165, 8.461, 8.541, 1641.000, 1592.800
8.180, 8.178, 8.477, 8.552, 1643.000, 1593.800
8.190, 8.186, 8.489, 8.561, 1644.700, 1595.700
8.200, 8.195, 8.493, 8.568, 1645.700, 1597.800
8.210, 8.206, 8.503, 8.579, 1646.800, 1601.600
8.220, 8.215, 8.515, 8.586, 1648.400, 1603.400
8.230, 8.228, 8.531, 8.598, 1655.200, 1605.500
8.240, 8.236, 8.534, 8.607, 1656.700, 1606.500
8.250, 8.244, 8.542, 8.619, 1658.200, 1607.200
8.260, 8.255, 8.555, 8.625, 1659.600, 1612.600
8.270, 8.264, 8.567, 8.633, 1664.900, 1614.000
8.280, 8.277, 8.581, 8.648, 1666.200, 1616.200
8.290, 8.285, 8.583, 8.650, 1667.800, 1617.900
8.300, 8.297, 8.598, 8.661, 1669.000, 1619.100
8.310, 8.304, 8.607, 8.675, 1670.800, 1620.000
8.320, 8.313, 8.616, 8.684, 1671.900, 1621.800
8.330, 8.327, 8.627, 8.698, 1677.700, 1626.600
8.340, 8.334, 8.633, 8.705, 1679.000, 1628.300
8.350, 8.346, 8.640, 8.713, 1680.200, 1630.100
8.360, 8.354, 8.649, 8.718, 1681.100, 1631.200
8.370, 8.367, 8.659, 8.732, 1683.700, 1632.800
8.380, 8.376, 8.669, 8.738, 1684.800, 1636.000
8.390, 8.384, 8.678, 8.744, 1687.100, 1639.500
8.400, 8.396, 8.689, 8.755, 1691.300, 1640.800
8.410, 8.404, 8.701, 8.761, 1692.800, 1642.400
8.420, 8.417, 8.708, 8.777, 1694.200, 1644.200
8.430, 8.426, 8.716, 8.789, 1696.000, 1645.800
8.440, 8.434, 8.725, 8.793, 1696.900, 1646.000
8.450, 8.445, 8.730, 8.803, 1700.000, 1647.700
8.460, 8.453, 8.738, 8.810, 1704.500, 1649.000
8.470, 8.467, 8.752, 8.834, 1705.500, 1655.800
8.480, 8.475, 8.764, 8.840, 1706.000, 1657.800
8.490, 8.486, 8.771, 8.856, 1708.500, 1659.000
8.500, 8.495, 8.781, 8.862, 1709.600, 1662.900
8.510, 8.503, 8.791, 8.863, 1710.000, 1665.800
8.520, 8.516, 8.807, 8.880, 1716.200, 1667.000
8.530, 8.526, 8.813, 8.889, 1717.800, 1668.500
8.540, 8.536, 8.825, 8.897, 1718.800, 1670.100
