SRC,MULT,CH1,CH2,VBAT,VPOW
8.000, 7.998, 8.011, 8.019, 8.005, 1619.000
8.010, 8.006, 8.015, 8.023, 8.005, 1610.900
8.020, 8.017, 8.020, 8.026, 8.005, 1613.900
8.030, 8.025, 8.021, 8.030, 8.005, 1614.900
8.040, 8.038, 8.033, 8.040, 8.005, 1617.600
8.050, 8.047, 8.039, 8.048, 8.005, 1618.300
8.060, 8.055, 8.052, 8.055, 8.005, 1619.700
8.070, 8.067, 8.065, 8.070, 8.005, 1621.600
8.080, 8.074, 8.070, 8.078, 8.005, 1625.900
8.090, 8.088, 8.082, 8.090, 8.005, 1627.800
8.100, 8.097, 8.093, 8.102, 8.005, 1629.900
8.110, 8.107, 8.103, 8.113, 8.005, 1630.900
8.120, 8.116, 8.112, 8.120, 8.005, 1632.500
8.130, 8.124, 8.122, 8.130, 8.005, 1633.000
8.140, 8.138, 8.133, 8.143, 8.005, 1639.300
8.150, 8.146, 8.141, 8.148, 8.005, 1640.000
8.160, 8.157, 8.151, 8.165, 8.005, 1641.900
8.170, 8.166, 8.161, 8.169, 8.005, 1643.100
8.180, 8.179, 8.179, 8.182, 8.005, 1645.700
8.190, 8.187, 8.186, 8.191, 8.005, 1646.000
8.200, 8.196, 8.192, 8.195, 8.005, 1647.000
8.210, 8.207, 8.202, 8.207, 8.005, 1648.800
8.220, 8.215, 8.212, 8.214, 8.005, 1655.200
8.230, 8.229, 8.227, 8.231, 8.005, 1657.300
8.240, 8.237, 8.239, 8.233, 8.005, 1658.900
8.250, 8.245, 8.245, 8.242, 8.005, 1660.300
8.260, 8.256, 8.262, 8.258, 8.005, 1665.400
8.270, 8.264, 8.268, 8.269, 8.005, 1666.000
8.280, 8.278, 8.282, 8.274, 8.005, 1667.800
8.290, 8.285, 8.288, 8.283, 8.005, 1669.500
8.300, 8.297, 8.304, 8.302, 8.005, 1671.100
8.310, 8.305, 8.305, 8.306, 8.005, 1672.000
8.320, 8.314, 8.318, 8.314, 8.005, 1677.000
8.330, 8.327, 8.336, 8.333, 8.005, 1678.800
8.340, 8.335, 8.341, 8.342, 8.005, 1680.700
8.350, 8.347, 8.349, 8.348, 8.005, 1682.000
8.360, 8.354, 8.355, 8.355, 8.005, 1683.200
8.370, 8.368, 8.362, 8.368, 8.005, 1684.800
8.380, 8.376, 8.368, 8.374, 8.005, 1689.800
8.390, 8.384, 8.378, 8.387, 8.005, 1691.800
8.400, 8.397, 8.398, 8.399, 8.005, 1692.900
8.410, 8.404, 8.402, 8.407, 8.005, 1693.300
8.420, 8.418, 8.416, 8.423, 8.005, 1695.800
8.430, 8.427, 8.425, 8.434, 8.005, 1697.000
8.440, 8.434, 8.428, 8.443, 8.005, 1698.500
8.450, 8.446, 8.441, 8.453, 8.005, 1704.800
8.460, 8.454, 8.448, 8.460, 8.005, 1705.000
8.470, 8.467, 8.460, 8.480, 8.005, 1706.900
8.480, 8.476, 8.469, 8.486, 8.005, 1708.400
8.490, 8.487, 8.476, 8.497, 8.005, 1709.800
8.500, 8.496, 8.492, 8.498, 8.005, 1710.100
8.510, 8.503, 8.499, 8.507, 8.005, 1715.400
8.520, 8.516, 8.512, 8.518, 8.005, 1717.800
8.530, 8.526, 8.520, 8.530, 8.005, 1718.900
8.540, 8.537, 8.537, 8.538, 8.005, 1721.200
8.550, 8.546, 8.542, 8.547, 8.005, 1722.000
8.560, 8.559, 8.554, 8.564, 8.005, 1723.800
8.570, 8.567, 8.560, 8.567, 8.005, 1728.600
8.580, 8.575, 8.573, 8.577, 8.005, 1730.000
8.590, 8.586, 8.586, 8.587, 8.005, 1731.200
8.600, 8.595, 8.591, 8.598, 8.005, 1732.800
8.610, 8.608, 8.604, 8.606, 8.005, 1734.800
8.620, 8.616, 8.614, 8.620, 8.005, 1735.900
8.630, 8.628, 8.626, 8.636, 8.005, 1741.400
8.640, 8.636, 8.635, 8.640, 8.005, 1742.900
8.650, 8.645, 8.645, 8.652, 8.005, 1743.600
8.660, 8.659, 8.659, 8.672, 8.005, 1746.200
8.670, 8.666, 8.663, 8.674, 8.005, 1747.000
8.680, 8.678, 8.671, 8.688, 8.005, 1748.900
8.690, 8.686, 8.678, 8.696, 8.005, 1752.700
8.700, 8.695, 8.686, 8.704, 8.005, 1755.400
8.710, 8.708, 8.694, 8.714, 8.005, 1756.200
8.720, 8.715, 8.702, 8.717, 8.005, 1757.800
8.730, 8.728, 8.722, 8.737, 8.005, 1759.800
8.740, 8.735, 8.728, 8.743, 8.005, 1760.900
8.750, 8.749, 8.740, 8.755, 8.005, 1761.900
8.760, 8.758, 8.750, 8.762, 8.005, 1768.000
8.770, 8.765, 8.760, 8.773, 8.005, 1769.000
8.780, 8.777, 8.772, 8.785, 8.005, 1770.600
8.790, 8.785, 8.781, 8.794, 8.005, 1771.700
8.800, 8.798, 8.795, 8.803, 8.005, 1773.700
8.810, 8.806, 8.806, 8.817, 8.005, 1774.900
8.820, 8.817, 8.820, 8.829, 8.005, 1779.100
8.830, 8.826, 8.819, 8.839, 8.005, 1781.800
8.840, 8.834, 8.828, 8.842, 8.005, 1782.100
8.850, 8.847, 8.843, 8.852, 8.005, 1783.900
