V1, V2
0.0, -8.47486000E-05
0.01, 9.01636000E-03
0.02, 1.67008000E-02
0.03, 2.98458000E-02
0.04, 3.88010000E-02
0.05, 4.95939000E-02
0.06, 5.81382000E-02
0.07, 6.58462000E-02
0.08, 8.02407000E-02
0.09, 8.87817000E-02
0.1, 9.95678000E-02
0.11, 1.08522000E-01
0.12, 1.21689000E-01
0.13, 1.29394000E-01
0.14, 1.38466000E-01
0.15, 1.49241000E-01
0.16, 1.57777000E-01
0.17, 1.71329000E-01
0.18, 1.79020000E-01
0.19, 1.90655000E-01
0.2, 1.98378000E-01
0.21, 2.07877000E-01
0.22, 2.20992000E-01
0.23, 2.28685000E-01
0.24, 2.40728000E-01
0.25, 2.48410000E-01
0.26, 2.56967000E-01
0.27, 2.70655000E-01
0.28, 2.78353000E-01
0.29, 2.90008000E-01
0.3, 2.97714000E-01
0.31, 3.11264000E-01
0.32, 3.19793000E-01
0.33, 3.27488000E-01
0.34, 3.39159000E-01
0.35000000000000003, 3.39150000E-01
0.36, 3.59996000E-01
0.37, 3.68955000E-01
0.38, 3.79772000E-01
0.39, 3.88319000E-01
0.4, 3.96010000E-01
0.41000000000000003, 3.96002000E-01
0.42, 4.18225000E-01
0.43, 4.29051000E-01
0.44, 4.38009000E-01
0.45, 4.45709000E-01
0.46, 4.58861000E-01
0.47000000000000003, 4.58885000E-01
0.48, 4.79207000E-01
0.49, 4.87773000E-01
0.5, 5.01330000E-01
0.51, 5.09012000E-01
0.52, 5.17555000E-01
0.53, 5.28380000E-01
0.54, 5.37489000E-01
0.55, 5.50618000E-01
0.56, 5.58344000E-01
0.5700000000000001, 5.58326000E-01
0.58, 5.78116000E-01
0.59, 5.86648000E-01
0.6, 5.99123000E-01
0.61, 6.06813000E-01
0.62, 6.18416000E-01
0.63, 6.26106000E-01
0.64, 6.35038000E-01
0.65, 6.48172000E-01
0.66, 6.55888000E-01
0.67, 6.68082000E-01
0.68, 6.75766000E-01
0.6900000000000001, 6.75794000E-01
0.7000000000000001, 6.75778000E-01
0.71, 7.05560000E-01
0.72, 7.17198000E-01
0.73, 7.24915000E-01
0.74, 7.38985000E-01
0.75, 7.47521000E-01
0.76, 7.58316000E-01
0.77, 7.67247000E-01
0.78, 7.74961000E-01
0.79, 7.88103000E-01
0.8, 7.97199000E-01
0.81, 8.07974000E-01
0.8200000000000001, 8.07998000E-01
0.8300000000000001, 8.07980000E-01
0.84, 8.37789000E-01
0.85, 8.46323000E-01
0.86, 8.57140000E-01
0.87, 8.65703000E-01
0.88, 8.78817000E-01
0.89, 8.86510000E-01
0.9, 8.95447000E-01
0.91, 9.06243000E-01
0.92, 9.14811000E-01
0.93, 9.28489000E-01
0.9400000000000001, 9.28482000E-01
0.9500000000000001, 9.28475000E-01
0.96, 9.55530000E-01
0.97, 9.64492000E-01
0.98, 9.77651000E-01
0.99, 9.85362000E-01
1.0, 9.98000000E-01
1.01, 1.00572400E+00
1.02, 1.01884400E+00
1.03, 1.02779200E+00
1.04, 1.03549900E+00
1.05, 1.04715200E+00
1.06, 1.05484600E+00
1.07, 1.06856300E+00
1.08, 1.07710500E+00
1.09, 1.08482800E+00
1.1, 1.09689500E+00
1.11, 1.10460700E+00
1.12, 1.11775600E+00
1.1300000000000001, 1.11775500E+00
1.1400000000000001, 1.11774000E+00
1.1500000000000001, 1.11774500E+00
1.16, 1.15464100E+00
1.17, 1.16816700E+00
1.18, 1.17670000E+00
1.19, 1.18752700E+00
1.2, 1.19663600E+00
1.21, 1.20976200E+00
1.22, 1.21747300E+00
1.23, 1.22642600E+00
1.24, 1.23720500E+00
1.25, 1.24572500E+00
1.26, 1.25984600E+00
1.27, 1.26758300E+00
1.28, 1.27610200E+00
1.29, 1.28692700E+00
1.3, 1.29588800E+00
1.31, 1.30903600E+00
1.32, 1.31673600E+00
1.33, 1.32894300E+00
1.34, 1.33665200E+00
1.35, 1.34519500E+00
1.36, 1.35875600E+00
1.37, 1.36648200E+00
1.3800000000000001, 1.36648300E+00
1.3900000000000001, 1.36646600E+00
1.4000000000000001, 1.36648700E+00
1.41, 1.40755500E+00
1.42, 1.41523900E+00
1.43, 1.42728300E+00
1.44, 1.43500700E+00
1.45, 1.44816400E+00
1.46, 1.45726400E+00
1.47, 1.46807000E+00
1.48, 1.47661300E+00
1.49, 1.48431500E+00
1.5, 1.49790100E+00
1.51, 1.50644300E+00
1.52, 1.51725100E+00
1.53, 1.52677100E+00
1.54, 1.53446400E+00
1.55, 1.54762500E+00
1.56, 1.55658100E+00
1.57, 1.56737800E+00
1.58, 1.57593300E+00
1.59, 1.58964200E+00
1.6, 1.59735600E+00
1.61, 1.60588700E+00
1.62, 1.61670600E+00
1.6300000000000001, 1.61670700E+00
1.6400000000000001, 1.61672200E+00
1.6500000000000001, 1.61669500E+00
1.6600000000000001, 1.61670800E+00
1.67, 1.66806300E+00
1.68, 1.67660100E+00
1.69, 1.69014100E+00
1.7, 1.69784800E+00
1.71, 1.70945400E+00
1.72, 1.71715700E+00
1.73, 1.72622000E+00
1.74, 1.73935000E+00
1.75, 1.74705900E+00
1.76, 1.75908700E+00
1.77, 1.76678500E+00
1.78, 1.77992800E+00
1.79, 1.78943800E+00
1.8, 1.79713300E+00
1.81, 1.80876100E+00
1.82, 1.81645200E+00
1.83, 1.82999700E+00
1.84, 1.83855600E+00
1.85, 1.84935700E+00
1.86, 1.85845000E+00
1.87, 1.86611300E+00
1.8800000000000001, 1.86611800E+00
1.8900000000000001, 1.86612200E+00
1.9000000000000001, 1.86615300E+00
1.9100000000000001, 1.86615300E+00
1.92, 1.91531200E+00
1.93, 1.92842500E+00
1.94, 1.93697100E+00
1.95, 1.94776000E+00
1.96, 1.95667600E+00
1.97, 1.96982800E+00
1.98, 1.97753500E+00
1.99, 1.98663100E+00
2.0, 1.99743900E+00
2.0100000000000002, 1.99744400E+00
2.02, 2.01952400E+00
2.0300000000000002, 2.01952600E+00
2.04, 2.03887000E+00
2.05, 2.04658600E+00
2.06, 2.05608000E+00
2.07, 2.06924300E+00
2.08, 2.07691600E+00
2.09, 2.08895700E+00
2.1, 2.09666300E+00
2.11, 2.10521400E+00
2.12, 2.11892600E+00
2.13, 2.12661000E+00
2.14, 2.13825900E+00
2.15, 2.14593700E+00
2.16, 2.15950300E+00
2.17, 2.16806500E+00
2.18, 2.17577500E+00
2.19, 2.18874000E+00
2.2, 2.19644100E+00
2.21, 2.20957700E+00
2.22, 2.21851800E+00
2.23, 2.22933200E+00
2.24, 2.23787000E+00
2.25, 2.24555900E+00
2.2600000000000002, 2.24555800E+00
2.27, 2.26778700E+00
