V1, V2
0.0, 4.41265000E-04
0.01, 9.53344000E-03
0.02, 1.72330000E-02
0.03, 3.03780000E-02
0.04, 3.93257000E-02
0.05, 5.01217000E-02
0.06, 5.86826000E-02
0.07, 6.63982000E-02
0.08, 8.06797000E-02
0.09, 8.92169000E-02
0.1, 1.00043000E-01
0.11, 1.08958000E-01
0.12, 1.22091000E-01
0.13, 1.29800000E-01
0.14, 1.38866000E-01
0.15, 1.49695000E-01
0.16, 1.58242000E-01
0.17, 1.71775000E-01
0.18, 1.79455000E-01
0.19, 1.91111000E-01
0.2, 1.98848000E-01
0.21, 2.08321000E-01
0.22, 2.21468000E-01
0.23, 2.29162000E-01
0.24, 2.41221000E-01
0.25, 2.48919000E-01
0.26, 2.57455000E-01
0.27, 2.71150000E-01
0.28, 2.78854000E-01
0.29, 2.90518000E-01
0.3, 2.98229000E-01
0.31, 3.11761000E-01
0.32, 3.20312000E-01
0.33, 3.28027000E-01
0.34, 3.39657000E-01
0.35000000000000003, 3.39668000E-01
0.36, 3.60508000E-01
0.37, 3.69451000E-01
0.38, 3.80260000E-01
0.39, 3.88797000E-01
0.4, 3.96491000E-01
0.41000000000000003, 3.96497000E-01
0.42, 4.18748000E-01
0.43, 4.29572000E-01
0.44, 4.38523000E-01
0.45, 4.46222000E-01
0.46, 4.59406000E-01
0.47000000000000003, 4.59398000E-01
0.48, 4.79724000E-01
0.49, 4.88270000E-01
0.5, 5.01816000E-01
0.51, 5.09539000E-01
0.52, 5.18094000E-01
0.53, 5.28907000E-01
0.54, 5.37995000E-01
0.55, 5.51159000E-01
0.56, 5.58858000E-01
0.5700000000000001, 5.58852000E-01
0.58, 5.78608000E-01
0.59, 5.87171000E-01
0.6, 5.99438000E-01
0.61, 6.07121000E-01
0.62, 6.18795000E-01
0.63, 6.26509000E-01
0.64, 6.35443000E-01
0.65, 6.48596000E-01
0.66, 6.56300000E-01
0.67, 6.68492000E-01
0.68, 6.76177000E-01
0.6900000000000001, 6.76198000E-01
0.7000000000000001, 6.76176000E-01
0.71, 7.05980000E-01
0.72, 7.17614000E-01
0.73, 7.25333000E-01
0.74, 7.39425000E-01
0.75, 7.47940000E-01
0.76, 7.58756000E-01
0.77, 7.67709000E-01
0.78, 7.75407000E-01
0.79, 7.88537000E-01
0.8, 7.97652000E-01
0.81, 8.08457000E-01
0.8200000000000001, 8.08476000E-01
0.8300000000000001, 8.08457000E-01
0.84, 8.38251000E-01
0.85, 8.46797000E-01
0.86, 8.57647000E-01
0.87, 8.66138000E-01
0.88, 8.79263000E-01
0.89, 8.86963000E-01
0.9, 8.95916000E-01
0.91, 9.06725000E-01
0.92, 9.15260000E-01
0.93, 9.28963000E-01
0.9400000000000001, 9.28981000E-01
0.9500000000000001, 9.28957000E-01
0.96, 9.56002000E-01
0.97, 9.64956000E-01
0.98, 9.78091000E-01
0.99, 9.85819000E-01
1.0, 9.98440000E-01
1.01, 1.00613500E+00
1.02, 1.01928400E+00
1.03, 1.02823900E+00
1.04, 1.03595700E+00
1.05, 1.04759900E+00
1.06, 1.05531600E+00
1.07, 1.06901000E+00
1.08, 1.07756100E+00
1.09, 1.08528300E+00
1.1, 1.09735100E+00
1.11, 1.10508900E+00
1.12, 1.11824700E+00
1.1300000000000001, 1.11825800E+00
1.1400000000000001, 1.11824500E+00
1.1500000000000001, 1.11826200E+00
1.16, 1.15508100E+00
1.17, 1.16862900E+00
1.18, 1.17717600E+00
1.19, 1.18798900E+00
1.2, 1.19707300E+00
1.21, 1.21020600E+00
1.22, 1.21788300E+00
1.23, 1.22685700E+00
1.24, 1.23765600E+00
1.25, 1.24620600E+00
1.26, 1.26033200E+00
1.27, 1.26802600E+00
1.28, 1.27656400E+00
1.29, 1.28737800E+00
1.3, 1.29632500E+00
1.31, 1.30944800E+00
1.32, 1.31714700E+00
1.33, 1.32935200E+00
1.34, 1.33708700E+00
1.35, 1.34562700E+00
1.36, 1.35919000E+00
1.37, 1.36691600E+00
1.3800000000000001, 1.36693700E+00
1.3900000000000001, 1.36693200E+00
1.4000000000000001, 1.36691700E+00
1.41, 1.40800400E+00
1.42, 1.41569500E+00
1.43, 1.42773400E+00
1.44, 1.43544500E+00
1.45, 1.44859600E+00
1.46, 1.45770600E+00
1.47, 1.46851700E+00
1.48, 1.47705700E+00
1.49, 1.48476700E+00
1.5, 1.49834000E+00
1.51, 1.50687900E+00
1.52, 1.51770500E+00
1.53, 1.52724200E+00
1.54, 1.53494500E+00
1.55, 1.54812300E+00
1.56, 1.55706800E+00
1.57, 1.56787600E+00
1.58, 1.57643800E+00
1.59, 1.59016200E+00
1.6, 1.59785700E+00
1.61, 1.60641800E+00
1.62, 1.61723900E+00
1.6300000000000001, 1.61724800E+00
1.6400000000000001, 1.61723300E+00
1.6500000000000001, 1.61720600E+00
1.6600000000000001, 1.61720900E+00
1.67, 1.66812400E+00
1.68, 1.67668000E+00
1.69, 1.69020200E+00
1.7, 1.69789900E+00
1.71, 1.70952600E+00
1.72, 1.71722700E+00
1.73, 1.72632700E+00
1.74, 1.73948000E+00
1.75, 1.74720200E+00
1.76, 1.75926100E+00
1.77, 1.76696700E+00
1.78, 1.78011600E+00
1.79, 1.78959000E+00
1.8, 1.79727200E+00
1.81, 1.80893300E+00
1.82, 1.81663800E+00
1.83, 1.83018100E+00
1.84, 1.83870500E+00
1.85, 1.84951600E+00
1.86, 1.85861000E+00
1.87, 1.86629900E+00
1.8800000000000001, 1.86630800E+00
1.8900000000000001, 1.86630200E+00
1.9000000000000001, 1.86630400E+00
1.9100000000000001, 1.86631800E+00
1.92, 1.91547300E+00
1.93, 1.92856700E+00
1.94, 1.93709500E+00
1.95, 1.94789800E+00
1.96, 1.95682300E+00
1.97, 1.96998000E+00
1.98, 1.97768200E+00
1.99, 1.98679800E+00
2.0, 1.99759400E+00
2.0100000000000002, 1.99760300E+00
2.02, 2.01967700E+00
2.0300000000000002, 2.01966900E+00
2.04, 2.03904200E+00
2.05, 2.04676300E+00
2.06, 2.05626600E+00
2.07, 2.06941100E+00
2.08, 2.07712000E+00
2.09, 2.08916600E+00
2.1, 2.09688400E+00
2.11, 2.10543000E+00
2.12, 2.11913200E+00
2.13, 2.12684400E+00
2.14, 2.13852500E+00
2.15, 2.14623100E+00
2.16, 2.15977000E+00
2.17, 2.16831500E+00
2.18, 2.17603000E+00
2.19, 2.18888800E+00
2.2, 2.19658400E+00
2.21, 2.20972200E+00
2.22, 2.21865600E+00
2.23, 2.22944800E+00
2.24, 2.23803500E+00
2.25, 2.24573200E+00
2.2600000000000002, 2.24573200E+00
2.27, 2.26796000E+00
2.2800000000000002, 2.26796700E+00
2.29, 2.28773400E+00
2.3000000000000003, 2.28772600E+00
2.31, 2.30859600E+00
2.32, 2.31808900E+00
2.33, 2.32888600E+00
2.34, 2.33742300E+00
2.35, 2.35096800E+00
2.36, 2.35866600E+00
2.37, 2.36722300E+00
2.38, 2.37806000E+00
2.39, 2.38713500E+00
2.4, 2.40028300E+00
2.41, 2.40798600E+00
2.42, 2.42005700E+00
2.43, 2.42775300E+00
2.44, 2.43630200E+00
2.45, 2.44944700E+00
2.46, 2.45717500E+00
2.47, 2.46880800E+00
2.48, 2.47650900E+00
2.49, 2.49003400E+00
2.5, 2.49859100E+00
2.5100000000000002, 2.49857200E+00
2.52, 2.51850400E+00
2.5300000000000002, 2.51849100E+00
2.54, 2.53935000E+00
2.5500000000000003, 2.53935700E+00
2.56, 2.55601000E+00
2.57, 2.56766600E+00
2.58, 2.57539300E+00
2.59, 2.58952300E+00
2.6, 2.59806500E+00
2.61, 2.60887400E+00
2.62, 2.61784500E+00
2.63, 2.62555900E+00
2.64, 2.63871400E+00
2.65, 2.64782000E+00
2.66, 2.65864800E+00
2.67, 2.66714700E+00
2.68, 2.68073000E+00
2.69, 2.68842200E+00
2.7, 2.69699100E+00
2.71, 2.70781500E+00
2.72, 2.71569500E+00
2.73, 2.72882200E+00
2.74, 2.73652500E+00
2.75, 2.74544200E+00
2.7600000000000002, 2.74546900E+00
2.77, 2.76483100E+00
2.7800000000000002, 2.76479700E+00
2.79, 2.78620100E+00
2.8000000000000003, 2.78621000E+00
2.81, 2.80556000E+00
2.82, 2.81450300E+00
2.83, 2.82764000E+00
2.84, 2.83533100E+00
2.85, 2.84792200E+00
2.86, 2.85561700E+00
2.87, 2.86876900E+00
2.88, 2.87771100E+00
2.89, 2.88541700E+00
2.9, 2.89708100E+00
2.91, 2.90479300E+00
2.92, 2.91847500E+00
2.93, 2.92703100E+00
2.94, 2.93785300E+00
2.95, 2.94681000E+00
2.96, 2.95451900E+00
2.97, 2.96766800E+00
2.98, 2.97620800E+00
2.99, 2.98700600E+00
3.0, 2.99555500E+00
3.0100000000000002, 2.99555700E+00
3.02, 3.01681200E+00
3.0300000000000002, 3.01679100E+00
3.04, 3.03615500E+00
3.0500000000000003, 3.03615500E+00
3.06, 3.05840700E+00
3.0700000000000003, 3.05841600E+00
3.08, 3.07506400E+00
3.09, 3.08587000E+00
3.1, 3.09442500E+00
3.11, 3.10853400E+00
3.12, 3.11624300E+00
3.13, 3.12787200E+00
3.14, 3.13560600E+00
3.15, 3.14454000E+00
3.16, 3.15769000E+00
3.17, 3.16542700E+00
3.18, 3.17761600E+00
3.19, 3.18534700E+00
3.2, 3.19391500E+00
3.21, 3.20745400E+00
3.22, 3.21515700E+00
3.23, 3.22682400E+00
3.24, 3.23451800E+00
3.25, 3.24893700E+00
3.2600000000000002, 3.24896800E+00
3.27, 3.26520900E+00
3.2800000000000002, 3.26517900E+00
3.29, 3.28496900E+00
3.3000000000000003, 3.28496800E+00
3.31, 3.30720300E+00
3.3200000000000003, 3.30719000E+00
3.33, 3.32654700E+00
3.34, 3.33425800E+00
3.35, 3.34781000E+00
3.36, 3.35636700E+00
3.37, 3.36716400E+00
3.38, 3.37670200E+00
3.39, 3.38444900E+00
3.4, 3.39760000E+00
3.41, 3.40652400E+00
3.42, 3.41730500E+00
3.43, 3.42589200E+00
3.44, 3.43958400E+00
3.45, 3.44729000E+00
3.46, 3.45582700E+00
3.47, 3.46665800E+00
3.48, 3.47558600E+00
3.49, 3.48875700E+00
3.5, 3.49648100E+00
3.5100000000000002, 3.49648600E+00
3.52, 3.51588400E+00
3.5300000000000002, 3.51588300E+00
3.54, 3.53794800E+00
3.5500000000000003, 3.53796300E+00
3.56, 3.55734200E+00
3.5700000000000003, 3.55734700E+00
3.58, 3.57879100E+00
3.59, 3.58730800E+00
3.6, 3.59502400E+00
3.61, 3.60711000E+00
3.62, 3.61479600E+00
3.63, 3.62798200E+00
3.64, 3.63749900E+00
3.65, 3.64521300E+00
3.66, 3.65686400E+00
3.67, 3.66456000E+00
3.68, 3.67814200E+00
3.69, 3.68668200E+00
3.7, 3.69750500E+00
3.71, 3.70664400E+00
3.72, 3.71434000E+00
3.73, 3.72747200E+00
3.74, 3.73644800E+00
3.75, 3.74725600E+00
3.7600000000000002, 3.74725900E+00
3.77, 3.77479300E+00
3.7800000000000002, 3.77479600E+00
3.79, 3.78557600E+00
3.8000000000000003, 3.78559100E+00
3.81, 3.80764000E+00
3.8200000000000003, 3.80766300E+00
3.83, 3.82699000E+00
3.84, 3.83467700E+00
3.85, 3.84836100E+00
3.86, 3.85691600E+00
3.87, 3.86770800E+00
3.88, 3.87664300E+00
3.89, 3.88979700E+00
3.9, 3.89750000E+00
3.91, 3.90701400E+00
3.92, 3.91780400E+00
3.93, 3.92633800E+00
3.94, 3.93990100E+00
3.95, 3.94759600E+00
3.96, 3.95921800E+00
3.97, 3.96691400E+00
3.98, 3.97600200E+00
3.99, 3.98916200E+00
4.0, 3.99687400E+00
4.01, 4.00891800E+00
4.0200000000000005, 4.00892100E+00
4.03, 4.02517500E+00
4.04, 4.03828900E+00
4.05, 4.04597700E+00
4.0600000000000005, 4.04596900E+00
4.07, 4.06532400E+00
4.08, 4.07887400E+00
4.09, 4.08741100E+00
4.1, 4.09511800E+00
4.11, 4.10729600E+00
4.12, 4.11499500E+00
4.13, 4.12815800E+00
4.14, 4.13710600E+00
4.15, 4.14789800E+00
4.16, 4.15644900E+00
4.17, 4.16418700E+00
4.18, 4.17828700E+00
4.19, 4.18681400E+00
4.2, 4.19763400E+00
4.21, 4.20657500E+00
4.22, 4.21427500E+00
4.23, 4.22743900E+00
4.24, 4.23654400E+00
4.25, 4.24735000E+00
4.26, 4.25591200E+00
4.2700000000000005, 4.25589800E+00
4.28, 4.27713200E+00
4.29, 4.28570600E+00
4.3, 4.29650400E+00
4.3100000000000005, 4.29653000E+00
4.32, 4.31942200E+00
4.33, 4.32712000E+00
4.34, 4.33919200E+00
4.3500000000000005, 4.33919300E+00
4.36, 4.35542700E+00
4.37, 4.36910500E+00
4.38, 4.37682400E+00
4.39, 4.38846200E+00
4.4, 4.39615300E+00
4.41, 4.40971700E+00
4.42, 4.41826600E+00
4.43, 4.42594500E+00
4.44, 4.43853500E+00
4.45, 4.44626000E+00
4.46, 4.45939600E+00
4.47, 4.46835000E+00
4.48, 4.47606600E+00
4.49, 4.48770800E+00
4.5, 4.49541800E+00
4.51, 4.50912000E+00
4.5200000000000005, 4.50912500E+00
4.53, 4.52844400E+00
4.54, 4.53739200E+00
4.55, 4.54512600E+00
4.5600000000000005, 4.54514500E+00
4.57, 4.56683300E+00
4.58, 4.57762400E+00
4.59, 4.58612000E+00
4.6000000000000005, 4.58611900E+00
4.61, 4.60739200E+00
4.62, 4.61594600E+00
4.63, 4.62676900E+00
4.64, 4.63586500E+00
4.65, 4.64901400E+00
4.66, 4.65672400E+00
4.67, 4.66567000E+00
4.68, 4.67645200E+00
4.69, 4.68500200E+00
4.7, 4.69917100E+00
4.71, 4.70685400E+00
4.72, 4.71851200E+00
4.73, 4.72622000E+00
4.74, 4.73515700E+00
4.75, 4.74828500E+00
4.76, 4.75600700E+00
4.7700000000000005, 4.75600100E+00
4.78, 4.77592600E+00
4.79, 4.78906900E+00
4.8, 4.79803000E+00
4.8100000000000005, 4.79802000E+00
4.82, 4.81674700E+00
4.83, 4.82444500E+00
4.84, 4.83688400E+00
4.8500000000000005, 4.83685000E+00
4.86, 4.85304300E+00
4.87, 4.86511500E+00
4.88, 4.87280100E+00
4.89, 4.88592200E+00
4.9, 4.89502600E+00
4.91, 4.90588200E+00
4.92, 4.91440200E+00
4.93, 4.92213600E+00
4.94, 4.93566200E+00
4.95, 4.94417000E+00
4.96, 4.95502600E+00
4.97, 4.96456100E+00
4.98, 4.97765600E+00
4.99, 4.98536600E+00
