V1, V2
0.0, -2.45187000E-04
0.01, 7.93764000E-03
0.02, 1.51829000E-02
0.03, 2.75954000E-02
0.04, 3.60562000E-02
0.05, 4.62604000E-02
0.06, 5.43275000E-02
0.07, 6.16329000E-02
0.08, 7.52587000E-02
0.09, 8.33130000E-02
0.1, 9.35239000E-02
0.11, 1.01985000E-01
0.12, 1.01957000E-01
0.13, 1.21649000E-01
0.14, 1.30242000E-01
0.15, 1.40434000E-01
0.16, 1.48513000E-01
0.17, 1.61310000E-01
0.18, 1.68577000E-01
0.19, 1.79603000E-01
0.2, 1.86895000E-01
0.21, 1.95870000E-01
0.22, 2.08278000E-01
0.23, 2.15581000E-01
0.24, 2.26938000E-01
0.25, 2.34243000E-01
0.26, 2.42319000E-01
0.27, 2.55283000E-01
0.28, 2.62553000E-01
0.29, 2.73550000E-01
0.3, 2.80809000E-01
0.31, 2.93623000E-01
0.32, 3.01704000E-01
0.33, 3.08995000E-01
0.34, 3.20032000E-01
0.35000000000000003, 3.20015000E-01
0.36, 3.39712000E-01
0.37, 3.48186000E-01
0.38, 3.58352000E-01
0.39, 3.66443000E-01
0.4, 3.73744000E-01
0.41000000000000003, 3.73726000E-01
0.42, 3.94725000E-01
0.43, 4.04916000E-01
0.44, 4.13391000E-01
0.45, 4.20718000E-01
0.46, 4.33130000E-01
0.47000000000000003, 4.33137000E-01
0.48, 4.52358000E-01
0.49, 4.60432000E-01
0.5, 4.73242000E-01
0.51, 4.80546000E-01
0.52, 4.88602000E-01
0.53, 4.98847000E-01
0.54, 5.07458000E-01
0.55, 5.19884000E-01
0.56, 5.27171000E-01
0.5700000000000001, 5.27185000E-01
0.58, 5.45863000E-01
0.59, 5.53953000E-01
0.6, 5.65749000E-01
0.61, 5.72981000E-01
0.62, 5.83957000E-01
0.63, 5.91264000E-01
0.64, 5.99701000E-01
0.65, 6.12121000E-01
0.66, 6.19428000E-01
0.67, 6.30950000E-01
0.68, 6.38210000E-01
0.6900000000000001, 6.38228000E-01
0.7000000000000001, 6.38207000E-01
0.71, 6.66376000E-01
0.72, 6.77371000E-01
0.73, 6.84675000E-01
0.74, 6.97991000E-01
0.75, 7.06050000E-01
0.76, 7.16277000E-01
0.77, 7.24727000E-01
0.78, 7.31990000E-01
0.79, 7.44411000E-01
0.8, 7.53005000E-01
0.81, 7.63224000E-01
0.8200000000000001, 7.63222000E-01
0.8300000000000001, 7.63218000E-01
0.84, 7.91377000E-01
0.85, 7.99496000E-01
0.86, 8.09703000E-01
0.87, 8.17791000E-01
0.88, 8.30198000E-01
0.89, 8.37490000E-01
0.9, 8.45946000E-01
0.91, 8.56166000E-01
0.92, 8.64223000E-01
0.93, 8.77177000E-01
0.9400000000000001, 8.77192000E-01
0.9500000000000001, 8.77189000E-01
0.96, 9.02790000E-01
0.97, 9.11246000E-01
0.98, 9.23674000E-01
0.99, 9.30992000E-01
1.0, 9.42911000E-01
1.01, 9.50206000E-01
1.02, 9.62629000E-01
1.03, 9.71091000E-01
1.04, 9.78383000E-01
1.05, 9.89397000E-01
1.06, 9.96683000E-01
1.07, 1.00963100E+00
1.08, 1.01769800E+00
1.09, 1.02503200E+00
1.1, 1.03643100E+00
1.11, 1.04369800E+00
1.12, 1.05613600E+00
1.1300000000000001, 1.05615700E+00
1.1400000000000001, 1.05615900E+00
1.1500000000000001, 1.05613700E+00
1.16, 1.09105900E+00
1.17, 1.10387700E+00
1.18, 1.11195000E+00
1.19, 1.12219100E+00
1.2, 1.13076400E+00
1.21, 1.14319100E+00
1.22, 1.15049400E+00
1.23, 1.15895000E+00
1.24, 1.16916900E+00
1.25, 1.17725600E+00
1.26, 1.19061800E+00
1.27, 1.19792100E+00
1.28, 1.20599200E+00
1.29, 1.21617800E+00
1.3, 1.22464600E+00
1.31, 1.23710000E+00
1.32, 1.24439600E+00
1.33, 1.25594700E+00
1.34, 1.26324600E+00
1.35, 1.27134000E+00
1.36, 1.28416600E+00
1.37, 1.29143600E+00
1.3800000000000001, 1.29145700E+00
