MULT,CH1,CH2
0,0.02368421052631579,0.0348421052631579
9.43069000E-03,0.04,0.05981578947368421
1.71262000E-02,0.052789473684210525,0.06
3.02716000E-02,0.06,0.07968421052631579
3.92569000E-02,0.08,0.08
5.00555000E-02,0.08,0.1
5.86322000E-02,0.09994736842105263,0.1
6.62983000E-02,0.1,0.10921052631578948
8.05622000E-02,0.12,0.12
8.90947000E-02,0.12,0.13997368421052633
9.99090000E-02,0.14,0.14
1.08837000E-01,0.14,0.15997368421052632
1.21982000E-01,0.16,0.16
1.29726000E-01,0.16,0.18
1.38804000E-01,0.18,0.18
1.49600000E-01,0.18,0.2
1.58148000E-01,0.19947368421052633,0.2
1.71702000E-01,0.2,0.22
1.79438000E-01,0.22,0.22
1.91072000E-01,0.22,0.24
1.98773000E-01,0.23997368421052634,0.24
2.08280000E-01,0.24,0.2597631578947368
2.21408000E-01,0.26,0.26
2.29123000E-01,0.26,0.27994736842105267
2.41164000E-01,0.28,0.28
2.48865000E-01,0.28,0.2997894736842105
2.57397000E-01,0.28507894736842104,0.3
2.71135000E-01,0.3,0.32
2.78843000E-01,0.3197105263157895,0.32
2.90462000E-01,0.32,0.34
2.98233000E-01,0.34,0.34
3.11820000E-01,0.34,0.36
3.20373000E-01,0.36,0.36
3.28095000E-01,0.36,0.37794736842105264
3.39678000E-01,0.3798421052631579,0.38
3.39705000E-01,0.37992105263157894,0.38
3.60526000E-01,0.4,0.4
3.69470000E-01,0.4,0.42
3.80286000E-01,0.42,0.42
3.88836000E-01,0.42,0.4392105263157895
3.96538000E-01,0.4352368421052632,0.44
3.96511000E-01,0.4341842105263158,0.44
4.18743000E-01,0.46,0.46
4.29551000E-01,0.46,0.47992105263157897
4.38523000E-01,0.48,0.48
4.46273000E-01,0.48,0.48605263157894735
4.59422000E-01,0.5,0.5
4.59402000E-01,0.5,0.5
4.79754000E-01,0.52,0.52
4.88310000E-01,0.52,0.5393684210526316
5.01847000E-01,0.54,0.54
5.09593000E-01,0.54,0.56
5.18139000E-01,0.5599736842105264,0.56
5.28956000E-01,0.56,0.58
5.38060000E-01,0.58,0.58
5.51198000E-01,0.58,0.6
5.58913000E-01,0.6,0.6
5.58923000E-01,0.6,0.6
5.78683000E-01,0.6195,0.62
5.87256000E-01,0.62,0.6317894736842106
5.99524000E-01,0.64,0.64
6.07224000E-01,0.64,0.659157894736842
6.18810000E-01,0.66,0.66
6.26513000E-01,0.66,0.6728421052631579
6.35465000E-01,0.6739736842105264,0.68
6.48592000E-01,0.68,0.6999473684210527
6.56308000E-01,0.6865,0.7
6.68515000E-01,0.7,0.72
6.76208000E-01,0.7136842105263158,0.72
6.76204000E-01,0.7131315789473684,0.72
6.76204000E-01,0.7154736842105264,0.72
7.05986000E-01,0.74,0.7542105263157894
7.17659000E-01,0.76,0.76
7.25372000E-01,0.76,0.7609736842105264
7.39426000E-01,0.78,0.78
7.47988000E-01,0.78,0.7998157894736841
7.58821000E-01,0.8,0.8
7.67738000E-01,0.8,0.8199473684210526
7.75420000E-01,0.8197631578947369,0.82
7.88561000E-01,0.82,0.8399473684210526
7.97671000E-01,0.84,0.84
8.08485000E-01,0.84,0.8596578947368421
8.08482000E-01,0.84,0.8598684210526316
8.08513000E-01,0.84,0.8598947368421053
8.38299000E-01,0.88,0.88
8.46848000E-01,0.88,0.8991842105263158
8.57691000E-01,0.9,0.9
8.66182000E-01,0.9,0.9140263157894737
8.79331000E-01,0.92,0.92
8.87025000E-01,0.92,0.9369473684210526
8.95975000E-01,0.9305789473684211,0.94
9.06796000E-01,0.94,0.9591842105263159
9.15336000E-01,0.9526052631578947,0.96
9.29041000E-01,0.96,0.98
9.29037000E-01,0.96,0.98
9.29030000E-01,0.96,0.98
9.56061000E-01,0.9997894736842106,1.0
9.65009000E-01,1.0,1.0063947368421053
9.78166000E-01,1.02,1.02
9.85906000E-01,1.02,1.0385
9.98515000E-01,1.04,1.04
1.00618900E+00,1.04,1.0590526315789472
1.01936900E+00,1.06,1.06
1.02832700E+00,1.06,1.08
1.03599800E+00,1.0797894736842106,1.08
1.04765400E+00,1.08,1.0999473684210528
1.05533900E+00,1.0994736842105262,1.1
1.06905000E+00,1.1,1.12
1.07760400E+00,1.12,1.12
1.08531800E+00,1.12,1.1376315789473683
1.09737500E+00,1.14,1.14
1.10508900E+00,1.14,1.1578157894736842
1.11828900E+00,1.16,1.16
1.11827400E+00,1.16,1.16
1.11826700E+00,1.16,1.16
1.11827300E+00,1.16,1.16
1.15513400E+00,1.1998684210526316,1.2
1.16864500E+00,1.2,1.22
1.17717000E+00,1.22,1.22
1.18801200E+00,1.22,1.24
1.19705900E+00,1.24,1.24
1.21022800E+00,1.24,1.26
1.21790900E+00,1.26,1.26
1.22690000E+00,1.26,1.28
1.23769300E+00,1.28,1.28
1.24619400E+00,1.28,1.3
1.26032300E+00,1.3,1.3
1.26800300E+00,1.3,1.32
1.27657200E+00,1.32,1.32
1.28738500E+00,1.32,1.34
1.29631600E+00,1.34,1.34
1.30948000E+00,1.34,1.36
1.31720100E+00,1.36,1.36
1.32941800E+00,1.3600263157894739,1.38
1.33710700E+00,1.38,1.38
1.34567000E+00,1.38,1.4
1.35922600E+00,1.4,1.4
1.36692900E+00,1.4,1.42
1.36692300E+00,1.4,1.42
1.36692500E+00,1.4,1.42
1.36692300E+00,1.4,1.4199736842105262
1.40802600E+00,1.44,1.46
1.41573300E+00,1.46,1.46
1.42779900E+00,1.46,1.48
1.43549800E+00,1.48,1.48
1.44868500E+00,1.4801842105263159,1.5
1.45778600E+00,1.5,1.5
1.46857800E+00,1.5008684210526317,1.52
1.47708800E+00,1.52,1.52
1.48482600E+00,1.52,1.54
1.49836200E+00,1.54,1.54
1.50696700E+00,1.54,1.56
1.51777800E+00,1.56,1.56
1.52732800E+00,1.56,1.58
1.53499600E+00,1.58,1.58
1.54814800E+00,1.58,1.6
1.55713200E+00,1.6,1.6
1.56795100E+00,1.602236842105263,1.62
1.57647500E+00,1.62,1.62
1.59022100E+00,1.6343947368421052,1.64
1.59786600E+00,1.64,1.64
