src,mult,ch1,ch2,vup,vdown
8.000, 7.993, 7.997, 7.997, 8.387, 8.006
8.010, 8.001, 7.997, 7.997, 8.015, 8.006
8.020, 8.012, 7.997, 7.997, 8.023, 8.006
8.030, 8.020, 7.997, 7.997, 8.034, 8.006
8.040, 8.034, 7.997, 7.997, 8.046, 8.006
8.050, 8.042, 7.997, 7.997, 8.058, 8.006
8.060, 8.050, 7.997, 7.997, 8.061, 8.006
8.070, 8.062, 7.997, 7.997, 8.077, 8.006
8.080, 8.070, 7.997, 7.997, 8.087, 8.006
8.090, 8.083, 7.997, 7.997, 8.099, 8.006
8.100, 8.092, 7.997, 7.997, 8.106, 8.006
8.110, 8.103, 7.997, 7.997, 8.115, 8.006
8.120, 8.111, 7.997, 7.997, 8.119, 8.006
8.130, 8.119, 7.997, 7.997, 8.137, 8.006
8.140, 8.133, 7.997, 7.997, 8.153, 8.006
8.150, 8.142, 7.997, 7.997, 8.158, 8.006
8.160, 8.142, 7.997, 7.997, 8.157, 8.006
8.170, 8.161, 7.997, 7.997, 8.176, 8.006
8.180, 8.175, 7.997, 7.997, 8.216, 8.006
8.190, 8.182, 7.997, 7.997, 8.221, 8.006
8.200, 8.191, 7.997, 7.997, 8.224, 8.006
8.210, 8.202, 7.997, 7.997, 8.225, 8.006
8.220, 8.211, 7.997, 7.997, 8.229, 8.006
8.230, 8.224, 7.997, 7.997, 8.237, 8.006
8.240, 8.232, 7.997, 7.997, 8.241, 8.006
8.250, 8.241, 7.997, 7.997, 8.251, 8.006
8.260, 8.251, 7.997, 7.997, 8.263, 8.006
8.270, 8.260, 7.997, 7.997, 8.275, 8.006
8.280, 8.273, 7.997, 7.997, 8.285, 8.006
8.290, 8.281, 7.997, 7.997, 8.296, 8.006
8.300, 8.293, 7.997, 7.997, 8.304, 8.006
8.310, 8.300, 7.997, 7.997, 8.313, 8.006
8.320, 8.309, 7.997, 7.997, 8.323, 8.006
8.330, 8.323, 7.997, 7.997, 8.331, 8.006
8.340, 8.330, 7.997, 7.997, 8.345, 8.006
8.350, 8.342, 7.997, 7.997, 8.355, 8.006
8.360, 8.350, 7.997, 7.997, 8.363, 8.006
8.370, 8.363, 7.997, 7.997, 8.375, 8.006
8.380, 8.372, 7.997, 7.997, 8.386, 8.006
8.390, 8.380, 7.997, 7.997, 8.398, 8.006
8.400, 8.392, 7.997, 7.997, 8.403, 8.006
8.410, 8.400, 7.997, 7.997, 8.407, 8.006
8.420, 8.413, 7.997, 7.997, 8.424, 8.006
8.430, 8.422, 7.997, 7.997, 8.433, 8.006
8.440, 8.430, 7.997, 7.997, 8.446, 8.006
8.450, 8.441, 7.997, 7.997, 8.454, 8.006
8.460, 8.449, 7.997, 7.997, 8.461, 8.006
8.470, 8.463, 7.997, 7.997, 8.476, 8.006
