SRC,MULT,VBAT,VPOW
8.000, 7.992, 1482.700, 1447.000
8.010, 8.000, 1607.600, 1611.600
8.020, 8.012, 1612.300, 1614.000
8.030, 8.019, 1614.100, 1615.400
8.040, 8.033, 1616.200, 1617.800
8.050, 8.041, 1617.300, 1618.700
8.060, 8.049, 1618.500, 1619.800
8.070, 8.061, 1619.900, 1621.900
8.080, 8.069, 1621.800, 1625.900
8.090, 8.082, 1626.600, 1628.100
8.100, 8.091, 1628.100, 1629.900
8.110, 8.102, 1630.000, 1630.800
8.120, 8.111, 1631.400, 1632.600
8.130, 8.118, 1632.400, 1633.500
8.140, 8.132, 1635.200, 1638.700
8.150, 8.141, 1639.500, 1640.400
8.160, 8.152, 1641.100, 1642.800
8.170, 8.161, 1642.600, 1643.500
8.180, 8.174, 1645.100, 1650.000
8.190, 8.182, 1649.500, 1652.800
8.200, 8.182, 1650.600, 1652.600
8.210, 8.202, 1652.200, 1654.800
8.220, 8.210, 1654.200, 1655.700
8.230, 8.224, 1656.300, 1657.500
8.240, 8.231, 1657.600, 1658.800
8.250, 8.240, 1658.800, 1662.800
8.260, 8.251, 1663.100, 1665.800
8.270, 8.259, 1665.800, 1666.500
8.280, 8.272, 1667.200, 1668.300
8.290, 8.280, 1668.600, 1669.600
8.300, 8.292, 1670.100, 1671.700
8.310, 8.300, 1671.200, 1673.100
8.320, 8.308, 1673.700, 1678.500
8.330, 8.322, 1678.700, 1679.600
8.340, 8.330, 1679.200, 1680.800
8.350, 8.341, 1681.000, 1682.600
8.360, 8.349, 1682.000, 1683.700
8.370, 8.363, 1684.100, 1687.300
8.380, 8.371, 1685.500, 1691.300
8.390, 8.379, 1690.700, 1692.000
8.400, 8.392, 1692.200, 1692.900
8.410, 8.399, 1692.900, 1694.600
8.420, 8.412, 1695.000, 1696.500
8.430, 8.421, 1696.700, 1697.500
8.440, 8.429, 1697.500, 1702.500
8.450, 8.441, 1704.000, 1704.800
8.460, 8.448, 1705.000, 1705.600
8.470, 8.462, 1705.900, 1707.400
8.480, 8.471, 1707.100, 1708.700
