i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
0.000, -0.000, 2751.000, 2714.900, 1676.200, 13.545, 13.355, -0.017
0.010, 0.004, 2752.800, 2714.900, 1674.500, 13.550, 13.355, -0.038
0.020, 0.013, 2751.500, 2714.400, 1672.700, 13.545, 13.355, -0.077
0.030, 0.024, 2752.700, 2715.000, 1673.400, 13.550, 13.360, -0.063
0.040, 0.033, 2752.200, 2715.100, 1671.800, 13.550, 13.360, -0.104
0.050, 0.043, 2750.900, 2715.200, 1671.300, 13.539, 13.360, -0.104
0.060, 0.054, 2752.100, 2715.200, 1671.200, 13.550, 13.360, -0.104
0.070, 0.063, 2752.800, 2715.800, 1670.500, 13.550, 13.360, -0.122
0.080, 0.074, 2753.100, 2715.800, 1669.700, 13.556, 13.360, -0.149
0.090, 0.084, 2752.600, 2715.500, 1669.800, 13.550, 13.360, -0.149
0.100, 0.094, 2753.400, 2714.800, 1669.200, 13.556, 13.355, -0.149
0.110, 0.104, 2753.600, 2715.700, 1669.400, 13.556, 13.360, -0.149
0.120, 0.114, 2753.400, 2716.200, 1668.800, 13.556, 13.364, -0.177
0.130, 0.124, 2754.300, 2717.800, 1667.700, 13.562, 13.369, -0.216
0.140, 0.134, 2753.800, 2715.900, 1668.600, 13.556, 13.360, -0.177
0.150, 0.144, 2754.000, 2716.800, 1667.400, 13.562, 13.364, -0.216
0.160, 0.154, 2755.100, 2716.700, 1667.300, 13.567, 13.364, -0.216
0.170, 0.164, 2754.200, 2717.200, 1667.200, 13.562, 13.369, -0.216
0.180, 0.174, 2755.000, 2717.600, 1667.100, 13.567, 13.369, -0.216
0.190, 0.184, 2754.600, 2717.400, 1666.500, 13.562, 13.369, -0.257
0.200, 0.194, 2754.900, 2716.600, 1666.800, 13.562, 13.364, -0.257
0.210, 0.203, 2755.300, 2717.100, 1666.000, 13.567, 13.369, -0.257
0.220, 0.212, 2755.200, 2718.300, 1666.000, 13.567, 13.374, -0.257
0.230, 0.222, 2755.800, 2718.300, 1665.400, 13.567, 13.374, 0.000
0.240, 0.232, 2755.400, 2718.300, 1665.300, 13.567, 13.374, 0.000
0.250, 0.242, 2755.800, 2718.900, 1663.200, 13.567, 13.374, -0.300
0.260, 0.252, 2755.900, 2717.200, 1663.700, 13.567, 13.369, -0.300
0.270, 0.262, 2755.700, 2720.700, 1662.100, 13.567, 13.383, -0.304
0.280, 0.272, 2756.300, 2718.900, 1660.300, 13.573, 13.374, -0.326
0.290, 0.282, 2756.200, 2719.700, 1661.000, 13.573, 13.379, -0.309
0.300, 0.292, 2756.200, 2719.300, 1659.800, 13.573, 13.379, -0.347
0.310, 0.302, 2757.100, 2720.900, 1658.900, 13.578, 13.383, -0.375
0.320, 0.311, 2756.900, 2721.900, 1658.800, 13.573, 13.387, -0.375
0.330, 0.321, 2756.600, 2720.300, 1658.700, 13.573, 13.383, -0.375
0.340, 0.330, 2756.100, 2720.200, 1658.000, 13.573, 13.383, -0.375
0.350, 0.340, 2756.700, 2720.300, 1657.100, 13.573, 13.383, -0.411
0.360, 0.350, 2756.700, 2723.700, 1657.000, 13.573, 13.395, -0.411
0.370, 0.360, 2756.900, 2721.800, 1656.500, 13.573, 13.387, -0.436
0.380, 0.370, 2756.600, 2720.700, 1656.000, 13.573, 13.383, -0.436
0.390, 0.380, 2757.300, 2722.100, 1655.900, 13.578, 13.391, -0.448
0.400, 0.390, 2757.800, 2723.800, 1655.600, 13.578, 13.395, -0.448
0.410, 0.403, 2757.600, 2724.500, 1653.800, 13.578, 13.399, -0.457
0.420, 0.413, 2757.600, 2723.800, 1653.900, 13.578, 13.395, -0.457
0.430, 0.423, 2757.500, 2726.700, 1650.400, 13.578, 13.406, -0.477
0.440, 0.433, 2757.400, 2724.100, 1649.700, 13.578, 13.399, -0.502
0.450, 0.443, 2758.300, 2724.800, 1650.900, 13.584, 13.399, -0.477
0.460, 0.454, 2757.900, 2725.400, 1648.400, 13.578, 13.402, -0.520
0.470, 0.463, 2757.500, 2724.800, 1648.500, 13.578, 13.399, -0.520
0.480, 0.473, 2758.400, 2728.200, 1649.100, 13.584, 13.414, -0.502
0.490, 0.483, 2758.800, 2728.200, 1647.800, 13.584, 13.414, -0.546
0.500, 0.493, 2758.600, 2726.400, 1647.300, 13.584, 13.406, -0.546
0.510, 0.503, 2758.600, 2726.800, 1647.100, 13.584, 13.406, -0.546
0.520, 0.513, 2758.500, 2727.100, 1647.200, 13.584, 13.410, -0.546
0.530, 0.523, 2759.000, 2729.300, 1646.700, 13.590, 13.418, -0.594
0.540, 0.533, 2759.700, 2728.800, 1646.500, 13.590, 13.414, -0.594
0.550, 0.543, 2758.200, 2728.200, 1646.300, 13.584, 13.414, -0.594
0.560, 0.553, 2758.900, 2729.000, 1645.900, 13.584, 13.418, -0.631
0.570, 0.563, 2758.900, 2728.400, 1645.700, 13.584, 13.414, -0.631
0.580, 0.573, 2759.700, 2727.800, 1645.300, 13.590, 13.410, -0.631
0.590, 0.583, 2760.300, 2729.100, 1645.100, 13.595, 13.418, -0.631
0.600, 0.593, 2759.200, 2730.200, 1643.900, 13.590, 13.422, -0.692
0.610, 0.603, 2760.300, 2728.500, 1644.200, 13.595, 13.414, -0.659
0.620, 0.613, 2760.900, 2729.500, 1643.500, 13.595, 13.418, -0.692
0.630, 0.623, 2760.300, 2728.300, 1643.800, 13.595, 13.414, -0.692
0.640, 0.633, 2761.700, 2730.100, 1643.500, 13.600, 13.422, -0.692
0.650, 0.643, 2762.500, 2730.000, 1643.200, 13.605, 13.422, -0.692
0.660, 0.654, 2760.400, 2729.500, 1642.300, 13.595, 13.418, -0.720
0.670, 0.663, 2762.700, 2730.400, 1642.500, 13.605, 13.422, -0.720
0.680, 0.673, 2762.800, 2730.100, 1642.400, 13.605, 13.422, -0.720
0.690, 0.683, 2761.700, 2730.400, 1642.300, 13.600, 13.422, -0.720
0.700, 0.693, 2762.200, 2729.600, 1640.800, 13.605, 13.418, -0.780
0.710, 0.704, 2763.300, 2731.400, 1641.400, 13.610, 13.428, -0.755
0.720, 0.713, 2762.000, 2730.900, 1641.700, 13.605, 13.422, -0.755
0.730, 0.723, 2763.300, 2730.900, 1640.300, 13.610, 13.422, -0.780
0.740, 0.733, 2763.500, 2729.300, 1640.700, 13.610, 13.418, -0.780
0.750, 0.743, 2763.500, 2730.200, 1639.600, 13.610, 13.422, -0.789
0.760, 0.754, 2763.900, 2731.000, 1638.300, 13.610, 13.428, -0.807
0.770, 0.763, 2763.200, 2731.200, 1638.500, 13.610, 13.428, -0.807
0.780, 0.773, 2763.800, 2730.800, 1637.800, 13.610, 13.422, -0.816
