i_src,i_meas,v_up,v_down,v_current
0.000, -0.114, 2753.700, 2717.700, 1677.500
0.010, -0.004, 2752.700, 2717.600, 1677.400
0.020, -0.013, 2752.500, 2718.200, 1676.500
0.030, -0.024, 2753.200, 2717.400, 1675.200
0.040, -0.033, 2753.500, 2717.600, 1675.500
0.050, -0.043, 2753.600, 2717.600, 1673.600
0.060, -0.054, 2753.800, 2718.700, 1672.800
0.070, -0.063, 2753.600, 2717.700, 1673.000
0.080, -0.074, 2753.800, 2717.900, 1672.800
0.090, -0.083, 2753.700, 2718.000, 1671.600
0.100, -0.093, 2754.200, 2718.500, 1671.400
0.110, -0.104, 2755.100, 2719.400, 1671.000
0.120, -0.114, 2754.900, 2719.100, 1670.400
0.130, -0.124, 2755.200, 2718.700, 1669.900
0.140, -0.134, 2754.900, 2719.500, 1669.600
0.150, -0.144, 2755.500, 2719.900, 1669.500
0.160, -0.154, 2755.700, 2720.300, 1668.500
0.170, -0.164, 2755.300, 2719.600, 1668.700
0.180, -0.174, 2755.800, 2720.800, 1668.100
0.190, -0.184, 2756.000, 2722.500, 1667.800
0.200, -0.194, 2756.800, 2719.900, 1667.500
0.210, -0.200, 2756.000, 2721.200, 1667.900
0.220, -0.210, 2756.800, 2722.300, 1667.800
0.230, -0.220, 2756.500, 2721.700, 1666.800
0.240, -0.230, 2756.600, 2721.100, 1666.800
0.250, -0.240, 2757.000, 2721.500, 1666.400
0.260, -0.250, 2756.300, 2721.100, 1666.500
0.270, -0.260, 2757.900, 2723.200, 1666.400
0.280, -0.270, 2757.900, 2722.000, 1665.300
0.290, -0.280, 2757.800, 2723.300, 1665.200
0.300, -0.290, 2757.500, 2721.800, 1663.600
0.310, -0.300, 2757.700, 2723.700, 1663.000
0.320, -0.310, 2758.400, 2724.400, 1660.700
0.330, -0.320, 2758.800, 2724.200, 1660.400
0.340, -0.330, 2759.800, 2724.000, 1659.700
0.350, -0.340, 2759.000, 2725.900, 1659.600
0.360, -0.350, 2759.000, 2723.600, 1658.700
0.370, -0.360, 2760.200, 2725.000, 1658.600
0.380, -0.370, 2759.800, 2726.400, 1658.600
0.390, -0.380, 2760.000, 2725.900, 1657.700
0.400, -0.390, 2760.500, 2726.400, 1657.800
0.410, -0.401, 2759.900, 2725.700, 1657.000
0.420, -0.411, 2760.900, 2725.500, 1657.000
0.430, -0.421, 2761.000, 2727.100, 1657.000
0.440, -0.430, 2760.300, 2726.600, 1656.600
0.450, -0.440, 2760.800, 2726.600, 1655.600
0.460, -0.451, 2761.400, 2727.200, 1654.800
0.470, -0.460, 2762.000, 2726.200, 1652.300
0.480, -0.470, 2762.500, 2727.500, 1650.300
0.490, -0.480, 2761.900, 2726.100, 1651.400
0.500, -0.490, 2762.600, 2727.800, 1650.400
0.510, -0.500, 2762.600, 2728.500, 1648.300
0.520, -0.510, 2763.100, 2728.100, 1648.700
0.530, -0.520, 2762.900, 2728.300, 1648.600
0.540, -0.530, 2763.500, 2728.200, 1648.500
0.550, -0.540, 2762.400, 2727.800, 1647.700
0.560, -0.550, 2763.700, 2728.200, 1646.600
0.570, -0.560, 2764.200, 2728.500, 1646.700
0.580, -0.570, 2763.700, 2729.600, 1646.800
0.590, -0.580, 2764.800, 2729.100, 1646.300
0.600, -0.590, 2763.800, 2728.500, 1646.300
0.610, -0.600, 2765.000, 2729.800, 1645.800
0.620, -0.610, 2765.300, 2729.500, 1645.700
0.630, -0.620, 2764.800, 2729.700, 1645.300
