i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
0.000, -0.054, 2751.300, 2714.900, 1676.700, 13.545, 13.355, -0.017
0.010, -0.004, 2751.100, 2714.400, 1677.300, 13.545, 13.355, -0.008
0.020, -0.013, 2749.800, 2714.100, 1678.300, 13.536, 13.355, 0.001
0.030, -0.024, 2751.200, 2714.600, 1678.600, 13.545, 13.355, 0.001
0.040, -0.033, 2751.000, 2713.900, 1678.500, 13.545, 13.350, 0.001
0.050, -0.043, 2752.000, 2714.200, 1679.200, 13.550, 13.355, 0.010
0.060, -0.054, 2749.200, 2713.400, 1679.600, 13.536, 13.350, 0.010
0.070, -0.063, 2748.700, 2713.700, 1679.100, 13.532, 13.350, 0.010
0.080, -0.074, 2751.100, 2713.900, 1680.200, 13.545, 13.350, 0.027
0.090, -0.083, 2748.800, 2713.700, 1680.200, 13.532, 13.350, 0.027
0.100, -0.093, 2748.900, 2713.600, 1680.400, 13.532, 13.350, 0.027
0.110, -0.104, 2748.700, 2713.400, 1680.800, 13.532, 13.350, 0.027
0.120, -0.114, 2748.000, 2713.500, 1680.900, 13.532, 13.350, 0.027
0.130, -0.124, 2748.200, 2713.400, 1681.300, 13.532, 13.350, 0.063
0.140, -0.134, 2747.300, 2713.600, 1681.700, 13.529, 13.350, 0.063
0.150, -0.144, 2748.000, 2712.900, 1681.900, 13.532, 13.346, 0.063
0.160, -0.154, 2746.500, 2713.000, 1682.400, 13.525, 13.350, 0.084
0.170, -0.164, 2747.300, 2712.800, 1683.000, 13.529, 13.346, 0.134
0.180, -0.174, 2747.600, 2713.100, 1682.700, 13.529, 13.350, 0.084
0.190, -0.184, 2746.000, 2712.800, 1682.900, 13.525, 13.346, 0.084
0.200, -0.194, 2746.000, 2712.900, 1684.900, 13.525, 13.346, 0.159
0.210, -0.203, 2746.300, 2712.400, 1683.900, 13.525, 13.346, 0.134
0.220, -0.212, 2745.700, 2712.700, 1684.300, 13.522, 13.346, 0.159
0.230, -0.222, 2745.400, 2712.800, 1684.300, 13.522, 13.346, 0.159
0.240, -0.232, 2745.100, 2712.200, 1684.700, 13.522, 13.346, 0.159
0.250, -0.242, 2745.000, 2712.200, 1686.000, 13.522, 13.346, 0.214
0.260, -0.253, 2745.200, 2711.900, 1686.600, 13.522, 13.341, 0.214
0.270, -0.262, 2745.000, 2711.800, 1688.700, 13.522, 13.341, 0.226
0.280, -0.272, 2745.000, 2711.600, 1689.000, 13.522, 13.341, 0.230
0.290, -0.282, 2744.800, 2711.900, 1689.300, 13.518, 13.341, 0.230
0.300, -0.292, 2744.600, 2711.500, 1691.100, 13.518, 13.341, 0.266
0.310, -0.302, 2744.800, 2711.100, 1690.600, 13.518, 13.341, 0.255
0.320, -0.312, 2746.100, 2711.600, 1691.500, 13.525, 13.341, 0.266
0.330, -0.322, 2744.300, 2711.000, 1691.700, 13.518, 13.341, 0.266
0.340, -0.332, 2744.000, 2710.900, 1691.800, 13.518, 13.336, 0.266
0.350, -0.342, 2744.200, 2710.700, 1692.100, 13.518, 13.336, 0.295
0.360, -0.353, 2744.300, 2710.800, 1692.700, 13.518, 13.336, 0.295
0.370, -0.362, 2744.000, 2711.100, 1692.200, 13.518, 13.341, 0.295
0.380, -0.373, 2743.900, 2710.800, 1692.900, 13.515, 13.336, 0.295
0.390, -0.383, 2744.100, 2710.400, 1693.200, 13.518, 13.336, 0.318
0.400, -0.393, 2743.900, 2710.400, 1693.200, 13.515, 13.336, 0.318
0.410, -0.403, 2743.800, 2710.300, 1694.100, 13.515, 13.336, 0.328
0.420, -0.413, 2743.700, 2710.300, 1693.900, 13.515, 13.336, 0.318
0.430, -0.423, 2743.600, 2710.200, 1695.300, 13.515, 13.336, 0.374
0.440, -0.432, 2743.100, 2710.000, 1694.800, 13.515, 13.336, 0.328
0.450, -0.432, 2742.500, 2709.900, 1695.500, 13.512, 13.332, 0.374
0.460, -0.453, 2742.500, 2709.900, 1696.000, 13.512, 13.332, 0.417
0.470, -0.463, 2743.100, 2710.300, 1695.800, 13.515, 13.336, 0.374
