i_src,i_meas,v_up,v_down,v_current
0.000, -0.000, 2761.100, 2725.000, 1665.000
0.010, 0.004, 2752.800, 2717.200, 1679.600
0.020, 0.013, 2752.400, 2717.200, 1679.300
0.030, 0.024, 2752.600, 2717.000, 1679.800
0.040, 0.033, 2752.100, 2717.100, 1680.400
0.050, 0.043, 2752.300, 2717.000, 1680.600
0.060, 0.054, 2752.200, 2716.900, 1680.700
0.070, 0.063, 2751.900, 2717.000, 1681.000
0.080, 0.073, 2752.500, 2716.700, 1681.800
0.090, 0.083, 2751.600, 2716.800, 1681.800
0.100, 0.093, 2751.400, 2715.700, 1682.300
0.110, 0.104, 2751.700, 2714.900, 1682.500
0.120, 0.114, 2751.000, 2715.800, 1682.400
0.130, 0.124, 2751.300, 2715.500, 1682.800
0.140, 0.134, 2751.400, 2714.700, 1683.000
0.150, 0.144, 2751.100, 2715.000, 1683.200
0.160, 0.154, 2750.600, 2715.000, 1683.800
0.170, 0.164, 2751.500, 2715.100, 1684.200
0.180, 0.174, 2750.500, 2714.500, 1684.900
0.190, 0.184, 2750.900, 2713.500, 1685.000
0.200, 0.194, 2749.200, 2714.000, 1685.500
0.210, 0.201, 2748.500, 2714.000, 1685.800
0.220, 0.210, 2748.000, 2713.300, 1685.600
0.230, 0.220, 2748.200, 2713.400, 1686.700
0.240, 0.231, 2748.800, 2713.700, 1689.200
0.250, 0.240, 2748.100, 2713.600, 1690.000
0.260, 0.251, 2748.500, 2712.900, 1689.600
0.270, 0.260, 2747.800, 2712.800, 1690.500
0.280, 0.270, 2747.700, 2713.100, 1691.300
0.290, 0.280, 2747.200, 2712.400, 1691.700
0.300, 0.290, 2747.100, 2712.500, 1692.400
0.310, 0.300, 2747.300, 2712.300, 1692.400
0.320, 0.310, 2746.400, 2711.000, 1692.300
0.330, 0.320, 2746.200, 2712.600, 1693.200
0.340, 0.330, 2746.300, 2711.500, 1694.200
0.350, 0.340, 2745.400, 2710.400, 1698.200
0.360, 0.350, 2746.800, 2712.200, 1699.500
0.370, 0.360, 2745.800, 2710.700, 1697.300
0.380, 0.371, 2743.000, 2707.900, 1696.400
0.390, 0.380, 2744.800, 2710.600, 1697.200
0.400, 0.390, 2744.700, 2710.200, 1697.100
0.410, 0.401, 2744.600, 2710.400, 1695.500
0.420, 0.411, 2744.400, 2711.200, 1695.800
0.430, 0.421, 2744.200, 2709.000, 1696.500
0.440, 0.430, 2744.000, 2709.400, 1696.500
0.450, 0.440, 2744.300, 2709.300, 1696.500
0.460, 0.451, 2743.400, 2707.900, 1696.800
0.470, 0.461, 2743.000, 2708.100, 1698.300
0.480, 0.470, 2743.000, 2708.300, 1697.500
0.490, 0.480, 2742.700, 2708.100, 1698.500
0.500, 0.490, 2742.500, 2706.900, 1699.500
0.510, 0.500, 2741.700, 2707.700, 1700.400
0.520, 0.510, 2741.900, 2706.800, 1701.300
0.530, 0.520, 2742.500, 2708.100, 1702.000
0.540, 0.530, 2741.700, 2707.400, 1703.300
0.550, 0.540, 2741.700, 2706.400, 1703.700
0.560, 0.550, 2741.600, 2706.300, 1704.700
0.570, 0.560, 2740.300, 2706.000, 1704.800
0.580, 0.570, 2740.500, 2707.000, 1705.200
0.590, 0.580, 2741.300, 2705.700, 1705.100
0.600, 0.590, 2740.400, 2706.900, 1705.300
0.610, 0.600, 2739.800, 2705.100, 1705.400
0.620, 0.610, 2739.600, 2705.400, 1705.700
0.630, 0.620, 2739.500, 2705.900, 1705.700
0.640, 0.630, 2739.100, 2704.300, 1706.200
0.650, 0.640, 2739.100, 2704.100, 1706.300
0.660, 0.651, 2738.600, 2704.300, 1707.300
0.670, 0.661, 2737.800, 2704.800, 1708.100
0.680, 0.671, 2738.400, 2705.400, 1708.100
