v_src_ch2,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
2.210, 2.201, 1945.200, 1939.300, 1897.400, 1890.600
2.220, 2.209, 1955.900, 1947.900, 1907.600, 1898.100
2.230, 2.223, 1965.100, 1949.300, 1915.600, 1900.700
2.240, 2.231, 1976.200, 1956.600, 1927.100, 1907.200
2.250, 2.239, 1980.400, 1957.900, 1933.700, 1909.900
2.260, 2.251, 1990.600, 1965.600, 1942.300, 1916.800
2.270, 2.259, 1998.100, 1968.600, 1952.300, 1920.200
2.280, 2.272, 2007.400, 1972.000, 1959.400, 1926.200
2.290, 2.281, 2017.400, 1974.600, 1969.300, 1929.600
2.300, 2.289, 2023.200, 1984.500, 1977.900, 1934.400
2.310, 2.301, 2032.400, 1986.100, 1983.900, 1938.400
2.320, 2.308, 2044.900, 1991.500, 1994.000, 1942.300
2.330, 2.323, 2052.400, 1995.000, 2002.500, 1946.100
2.340, 2.331, 2063.900, 2005.300, 2020.400, 1946.000
2.350, 2.339, 2071.400, 2005.800, 2021.100, 1957.800
2.360, 2.351, 2079.600, 2013.100, 2027.300, 1959.100
2.370, 2.359, 2090.200, 2016.300, 2037.000, 1966.800
2.380, 2.372, 2097.400, 2021.100, 2047.500, 1971.800
2.390, 2.381, 2107.700, 2027.100, 2060.300, 1977.000
2.400, 2.392, 2118.200, 2033.000, 2066.300, 1983.600
2.410, 2.401, 2126.300, 2036.000, 2077.100, 1986.500
2.420, 2.409, 2133.900, 2042.300, 2082.700, 1989.100
2.430, 2.423, 2141.300, 2044.500, 2090.800, 1994.400
2.440, 2.431, 2152.800, 2052.500, 2101.700, 2001.400
2.450, 2.442, 2160.400, 2054.300, 2109.700, 2001.900
2.460, 2.451, 2170.700, 2061.900, 2119.200, 2012.200
2.470, 2.459, 2177.200, 2064.100, 2127.100, 2011.500
2.480, 2.472, 2186.700, 2069.800, 2133.900, 2019.200
2.490, 2.481, 2197.300, 2073.800, 2147.000, 2023.600
2.500, 2.492, 2204.700, 2080.500, 2155.000, 2028.200
2.510, 2.501, 2214.200, 2082.800, 2163.300, 2032.200
2.520, 2.508, 2223.000, 2090.600, 2171.900, 2039.100
2.530, 2.522, 2229.400, 2091.400, 2178.800, 2041.600
2.540, 2.531, 2241.400, 2099.000, 2189.800, 2047.200
2.550, 2.542, 2249.200, 2103.100, 2197.500, 2049.800
2.560, 2.551, 2259.000, 2108.200, 2207.500, 2059.300
2.570, 2.559, 2266.000, 2110.100, 2214.200, 2063.800
2.580, 2.572, 2272.800, 2116.700, 2221.800, 2066.200
2.590, 2.581, 2286.200, 2120.700, 2233.900, 2070.100
2.600, 2.592, 2293.700, 2126.700, 2241.700, 2074.700
2.610, 2.601, 2302.900, 2130.100, 2251.200, 2080.000
2.620, 2.614, 2311.600, 2136.000, 2261.100, 2085.200
2.630, 2.622, 2322.900, 2140.500, 2272.200, 2091.400
2.640, 2.631, 2330.100, 2145.800, 2277.500, 2095.400
2.650, 2.642, 2337.700, 2147.500, 2287.600, 2096.900
2.660, 2.651, 2347.400, 2154.900, 2295.000, 2104.000
2.670, 2.664, 2356.100, 2158.100, 2303.400, 2106.200
2.680, 2.672, 2367.000, 2162.600, 2315.000, 2113.900
2.690, 2.681, 2372.700, 2165.700, 2320.700, 2117.000
2.700, 2.692, 2381.900, 2171.700, 2329.000, 2121.500
2.710, 2.701, 2391.200, 2175.000, 2339.000, 2124.400
2.720, 2.712, 2399.800, 2183.200, 2346.200, 2131.800
2.730, 2.720, 2408.600, 2185.100, 2356.500, 2134.700
2.740, 2.728, 2416.000, 2190.100, 2365.500, 2140.300
2.750, 2.739, 2423.500, 2194.200, 2370.400, 2143.300
2.760, 2.748, 2433.300, 2199.400, 2381.400, 2148.600
2.770, 2.761, 2441.000, 2202.100, 2389.700, 2150.500
2.780, 2.769, 2453.600, 2209.900, 2399.500, 2159.300
2.790, 2.778, 2459.100, 2211.300, 2406.400, 2159.900
2.800, 2.789, 2468.700, 2216.500, 2415.600, 2167.600
2.810, 2.798, 2473.200, 2220.900, 2423.300, 2170.800
2.820, 2.811, 2479.100, 2226.900, 2433.000, 2176.100
2.830, 2.819, 2497.300, 2232.200, 2443.500, 2178.300
2.840, 2.827, 2504.900, 2237.000, 2450.600, 2184.300
2.850, 2.839, 2512.200, 2239.500, 2458.300, 2187.500
2.860, 2.848, 2522.300, 2246.100, 2469.200, 2195.800
2.870, 2.861, 2530.500, 2249.000, 2475.600, 2197.200
2.880, 2.869, 2541.300, 2255.800, 2488.100, 2203.200
2.890, 2.881, 2548.000, 2258.700, 2494.700, 2206.600
2.900, 2.889, 2559.400, 2263.800, 2504.800, 2212.900
2.910, 2.898, 2566.000, 2265.300, 2511.200, 2214.300
2.920, 2.911, 2575.200, 2271.500, 2520.800, 2221.900
2.930, 2.919, 2584.900, 2275.400, 2530.100, 2224.900
2.940, 2.930, 2593.000, 2284.300, 2538.900, 2230.800
2.950, 2.938, 2602.800, 2287.000, 2547.200, 2234.700
2.960, 2.947, 2610.900, 2291.900, 2554.000, 2238.800
2.970, 2.961, 2618.600, 2295.800, 2562.600, 2241.800
2.980, 2.968, 2629.600, 2300.900, 2575.000, 2249.500
2.990, 2.981, 2637.000, 2303.600, 2581.200, 2251.500
3.000, 2.989, 2647.900, 2312.200, 2592.200, 2258.600
3.010, 2.997, 2654.300, 2313.300, 2599.100, 2261.900
3.020, 3.011, 2663.100, 2317.900, 2606.000, 2266.200
3.030, 3.019, 2672.900, 2324.300, 2617.800, 2269.700
3.040, 3.030, 2680.500, 2328.200, 2626.700, 2276.200
3.050, 3.038, 2688.100, 2332.000, 2633.400, 2278.500
3.060, 3.047, 2697.600, 2338.100, 2642.400, 2286.400
3.070, 3.061, 2706.500, 2340.800, 2650.800, 2288.200
3.080, 3.068, 2718.500, 2348.500, 2661.800, 2295.900
3.090, 3.081, 2720.700, 2345.300, 2667.700, 2299.200
3.100, 3.088, 2736.100, 2355.600, 2678.900, 2303.400
3.110, 3.102, 2742.600, 2353.300, 2686.800, 2305.700
3.120, 3.111, 2753.700, 2364.700, 2698.300, 2314.800
3.130, 3.119, 2760.000, 2366.300, 2705.000, 2316.200
3.140, 3.130, 2770.200, 2372.100, 2713.500, 2321.800
3.150, 3.138, 2778.700, 2377.800, 2723.300, 2326.000
3.160, 3.152, 2786.700, 2384.100, 2732.300, 2330.900
3.170, 3.161, 2798.200, 2388.500, 2741.000, 2333.500
3.180, 3.168, 2805.900, 2394.300, 2751.800, 2341.000
3.190, 3.180, 2814.200, 2396.300, 2756.300, 2342.800
3.200, 3.188, 2824.900, 2403.200, 2768.400, 2350.700
3.210, 3.202, 2832.200, 2405.100, 2773.300, 2352.500
3.220, 3.210, 2842.400, 2413.200, 2785.800, 2358.900
3.230, 3.218, 2849.500, 2415.800, 2791.800, 2359.500
3.240, 3.230, 2857.800, 2418.900, 2802.900, 2366.500
3.250, 3.238, 2867.700, 2422.600, 2807.800, 2369.500
3.260, 3.252, 2874.400, 2429.100, 2817.900, 2376.700
3.270, 3.261, 2884.400, 2434.000, 2829.100, 2379.900
3.280, 3.268, 2887.700, 2440.600, 2836.700, 2384.100
3.290, 3.281, 2897.000, 2442.100, 2843.200, 2386.800
3.300, 3.288, 2913.100, 2449.200, 2854.600, 2393.700
3.310, 3.302, 2919.900, 2451.400, 2860.900, 2396.800
3.320, 3.311, 2932.000, 2458.900, 2873.100, 2405.000
3.330, 3.319, 2938.800, 2461.300, 2878.500, 2406.400
3.340, 3.330, 2945.700, 2466.100, 2886.300, 2411.000
3.350, 3.338, 2954.500, 2468.800, 2894.300, 2414.300
3.360, 3.351, 2965.100, 2472.000, 2906.400, 2421.300
3.370, 3.360, 2975.200, 2473.500, 2914.400, 2426.000
3.380, 3.371, 2983.200, 2479.100, 2925.400, 2431.300
3.390, 3.381, 2991.100, 2488.900, 2933.800, 2432.800
3.400, 3.388, 3000.700, 2496.500, 2939.800, 2439.500
3.410, 3.402, 3007.300, 2497.900, 2946.600, 2444.000
3.420, 3.411, 3018.800, 2504.900, 2961.600, 2449.800
3.430, 3.422, 3028.200, 2508.000, 2967.900, 2450.800
3.440, 3.430, 3037.900, 2515.500, 2980.000, 2458.300
3.450, 3.438, 3043.900, 2516.800, 2985.400, 2459.100
3.460, 3.452, 3052.900, 2521.400, 2993.000, 2465.200
3.470, 3.460, 3062.600, 2525.600, 3002.900, 2470.400
3.480, 3.471, 3070.300, 2532.500, 3012.700, 2471.500
3.490, 3.480, 3080.600, 2534.200, 3019.200, 2475.400
3.500, 3.488, 3088.400, 2541.800, 3028.800, 2483.900
3.510, 3.501, 3093.300, 2544.700, 3037.000, 2486.400
3.520, 3.510, 3106.800, 2551.900, 3048.300, 2494.900
3.530, 3.521, 3115.900, 2553.800, 3053.600, 2497.200
3.540, 3.530, 3125.800, 2559.600, 3065.700, 2505.700
3.550, 3.538, 3133.500, 2561.500, 3069.500, 2507.300
3.560, 3.551, 3141.900, 2567.900, 3080.200, 2511.400
3.570, 3.560, 3150.400, 2572.100, 3091.200, 2515.400
3.580, 3.571, 3159.600, 2574.600, 3098.800, 2521.000
3.590, 3.580, 3168.700, 2578.200, 3107.700, 2524.000
